年号,登場人物,史実名,解説,関連史実,関連分野,難易度
1871年,明治政府が身分制度を廃止し、えた・非人の身分を解放。しかし差別は残り、実質的な平等は実現しなかった。四民平等の一環だが、不十分な政策だった。,解放令,解放令。えた・非人の解放,身分制度:廃止; えた・非人:解放; 差別:残存,その他,3
1872年,明治政府が近代的な教育制度（学制）を公布。全国に小学校を設置し、男女とも教育を受けることを義務化。国民皆学を目指したが、学費負担で就学率は低かった。,学制の公布,学制の公布。国民皆学,小学校:全国設置; 義務教育:開始; 就学率:当初低い,学校,2
1872年,群馬県富岡に官営の製糸工場を開設。フランスの技術を導入し、生糸の品質向上を図る。輸出産業の育成（殖産興業）の象徴。女工が全国から集まった。,富岡製糸場の開業,富岡製糸場。官営模範工場,殖産興業:推進; 生糸:輸出品; フランス:技術導入,その他,2
1873年,明治政府が税制を改革。土地の所有者に地券を発行し、地価の3%を現金で納めさせる。安定した税収を確保したが、農民の負担は重く、地租改正反対一揆が頻発した。,地租改正,地租改正。土地税の改革,地券:発行; 地価3%:税率; 地租改正反対一揆:農民反発,その他,3
1873年,西郷隆盛らが朝鮮への出兵を主張（征韓論）。しかし岩倉使節団から帰国した大久保利通らが内政優先を主張し対立。西郷らは下野し、士族の反乱が各地で起こるきっかけとなった。,征韓論争,征韓論争。政府内の対立,西郷隆盛:征韓論; 大久保利通:内政優先; 下野:西郷ら辞職,その他,3
1874年,板垣退助らが民選議院設立建白書を政府に提出。国会開設と憲法制定を要求。自由民権運動の始まりとなった。,民選議院設立建白書,民選議院設立建白書。国会開設要求,板垣退助:提出; 国会:開設要求; 自由民権運動:始まり,その他,3
1877年,鹿児島の不平士族が西郷隆盛を擁立して挙兵。政府軍と激戦を繰り広げるが、西郷は敗死。士族による最後で最大の反乱。徴兵制の政府軍が勝利し、近代国家の基盤が固まった。,西南戦争,西南戦争。最大の士族反乱,西郷隆盛:首領; 鹿児島:反乱地; 士族:最後の反乱,その他,3
1880年,自由民権運動が全国に広がり、国会期成同盟が結成される。国会開設を求める署名運動を展開。政府は集会条例で弾圧したが、1881年に国会開設の詔が出された。,国会期成同盟の結成,国会期成同盟。全国組織,自由民権運動:全国化; 国会開設:要求; 署名運動:実施,その他,3
1881年,明治天皇が10年後の1890年に国会を開設することを約束。政府の圧力で国会開設が決定。自由民権運動の成果だが、政府主導の憲法制定となった。,国会開設の詔,国会開設の詔。1890年に開設約束,明治天皇:発布; 1890年:国会開設; 自由民権運動:成果,その他,3
1881年,板垣退助が日本初の政党・自由党を結成。フランス流の自由主義を掲げ、地主や農民の支持を得た。翌1882年には大隈重信が立憲改進党を結成し、政党政治が始まった。,自由党の結成,自由党の結成。日本初の政党,板垣退助:党首; フランス流:自由主義; 地主・農民:支持基盤,その他,3
1884年,埼玉県秩父地方で困窮した農民が蜂起。借金の帳消しを要求し、郡役所を襲撃。自由党員も参加したが、政府軍に鎮圧された。自由民権運動の激化事件の一つ。,秩父事件,秩父事件。農民の武装蜂起,埼玉県秩父:蜂起地; 農民:困窮; 自由党員:参加,その他,3
1885年,太政官制を廃止し、内閣制度を創設。初代内閣総理大臣に伊藤博文が就任。近代的な行政機構が整い、内閣が国政を統括する体制になった。,内閣制度の創設,内閣制度の創設。伊藤博文が初代総理,伊藤博文:初代総理; 内閣:行政の中心; 太政官制:廃止,その他,3
1886年,イギリス船ノルマントン号が和歌山沖で沈没。イギリス人船員は全員救命ボートで脱出したが、日本人乗客25人全員が溺死。船長は軽い罰で済まされ、領事裁判権の不平等が問題となった。,ノルマントン号事件,ノルマントン号事件。領事裁判権の不平等,イギリス船:沈没; 日本人:全員溺死; 領事裁判権:不平等条約,その他,3
1890年,大日本帝国憲法に基づき、衆議院と貴族院からなる帝国議会が開会。立憲政治が始まったが、選挙権は高額納税者の男子のみで、有権者は全人口の1%程度だった。,第1回帝国議会の開会,第1回帝国議会。立憲政治の開始,衆議院:選挙; 貴族院:任命; 有権者:1%,その他,3
1894年,陸奥宗光外相がイギリスとの間で領事裁判権の撤廃に成功。不平等条約改正の第一歩。その後、他の列強とも同様の条約を結んだ。,日英通商航海条約,日英通商航海条約。領事裁判権の撤廃,陸奥宗光:外相; 領事裁判権:撤廃; イギリス:条約相手,その他,3
1901年,福岡県八幡に官営製鉄所が操業開始。中国から鉄鉱石、筑豊炭田から石炭を調達し、近代産業の基盤となった。日清戦争の賠償金で建設された。,八幡製鉄所の操業開始,八幡製鉄所。官営製鉄所,福岡県八幡:所在地; 筑豊炭田:石炭; 日清戦争:賠償金で建設,その他,2
1902年,日本とイギリスが同盟を結ぶ。ロシアの南下政策に対抗するため。日本は列強の一員として国際的に認められた。日露戦争での勝利にもつながった。,日英同盟,日英同盟。ロシアに対抗,イギリス:同盟国; ロシア:共通の脅威; 列強:日本の地位向上,その他,3
1911年,小村寿太郎外相がアメリカとの間で関税自主権の完全回復に成功。1858年以来の不平等条約がついに改正された。明治政府の悲願が達成された。,関税自主権の回復,関税自主権の回復。不平等条約の完全改正,小村寿太郎:外相; 関税自主権:回復; 1858年:条約以来,その他,3
1911年,中国で孫文らが清朝を倒し、アジア初の共和国・中華民国を樹立。2000年以上続いた皇帝政治が終わり、近代国家への転換が始まった。日本にも大きな影響を与えた。,辛亥革命,辛亥革命。清朝滅亡,孫文:指導者; 清朝:滅亡; 中華民国:成立,その他,3
1912年,明治天皇が亡くなり、大正天皇が即位。明治時代が終わり、大正時代が始まる。乃木希典大将が殉死し、社会に衝撃を与えた。,明治天皇崩御・大正天皇即位,明治から大正へ。時代の転換,明治天皇:崩御; 大正天皇:即位; 乃木希典:殉死,その他,2
1914年,ヨーロッパで第一次世界大戦が勃発。日本は日英同盟を理由に参戦し、ドイツの中国権益や南洋諸島を占領。ヨーロッパが疲弊する中、日本は経済発展を遂げた。,第一次世界大戦の開戦,第一次世界大戦（1914-1918年）。日本参戦,ヨーロッパ:主戦場; 日本:日英同盟で参戦; 中国:権益拡大,その他,3
1915年,日本が中国（袁世凱政権）に二十一カ条の要求を突きつける。山東省のドイツ権益の継承、満州・内蒙古の権益拡大などを要求。中国や列強の反発を招いた。,二十一カ条の要求,二十一カ条の要求。中国に厳しい要求,中国:袁世凱政権; 山東省:権益; 列強:反発,その他,3
1917年,ロシアで革命が起こり、レーニン率いるボリシェヴィキが政権を奪取。世界初の社会主義国家・ソビエト連邦が成立。世界に大きな影響を与え、日本も干渉戦争（シベリア出兵）を行った。,ロシア革命,ロシア革命。社会主義国家の誕生,レーニン:指導者; ボリシェヴィキ:革命党; ソ連:成立,その他,3
1918年,ロシア革命に干渉するため、日本がシベリアに出兵。米価高騰の一因となり、米騒動を引き起こした。1922年まで続いたが、成果なく撤退した。,シベリア出兵,シベリア出兵（1918-1922年）。干渉戦争,ロシア革命:干渉; 米騒動:引き金; 1922年:撤退,その他,3
1919年,第一次世界大戦の講和条約。日本は山東省の旧ドイツ権益や南洋諸島を獲得。国際連盟の常任理事国となり、列強としての地位を確立した。,ベルサイユ条約,ベルサイユ条約。第一次大戦の講和,山東省:獲得; 南洋諸島:委任統治; 国際連盟:常任理事国,その他,3
1919年,朝鮮で日本の植民地支配に反対する大規模な独立運動が発生。「独立万歳」を叫ぶデモが全土に広がったが、日本は武力で鎮圧。朝鮮の民族意識の高まりを示した。,三・一独立運動,三・一独立運動。朝鮮の独立運動,朝鮮:独立要求; 日本:武力鎮圧; 民族運動:高まり,その他,3
1920年,第一次世界大戦後、アメリカ大統領ウィルソンの提唱で国際連盟が発足。日本は常任理事国として参加。しかし提唱国アメリカは議会の反対で不参加となった。,国際連盟の発足,国際連盟の発足。集団安全保障,ウィルソン:提唱; 日本:常任理事国; アメリカ:不参加,その他,3
1922年,部落差別撤廃を目指し、全国水平社が創立される。「人の世に熱あれ、人間に光あれ」のスローガンで、差別との闘いを宣言。日本初の人権運動組織。,全国水平社の創立,全国水平社。部落差別撤廃運動,部落差別:撤廃目標; 人の世に熱あれ:スローガン; 人権運動:始まり,その他,3
1922年,アメリカ主催で軍縮会議が開催。主力艦の保有比率を米英日仏伊=5:5:3:1.67:1.67に制限。日本は山東省の権益を中国に返還し、日英同盟も解消された。,ワシントン会議,ワシントン会議。海軍軍縮,主力艦:保有比率; 山東省:返還; 日英同盟:解消,その他,3
1923年,マグニチュード7.9の大地震が関東地方を襲い、東京・横浜が壊滅。火災で10万人以上が死亡。混乱の中で朝鮮人虐殺などの悲劇も発生。震災恐慌で経済が悪化し、社会不安が軍部台頭の一因となった。,関東大震災,関東大震災。首都圏壊滅,マグニチュード7.9:規模; 10万人:犠牲者; 朝鮮人虐殺:悲劇,地理,2
1924年,貴族院中心の政治に反対し、普通選挙を求める護憲運動が再び高まる。1925年に男子普通選挙法が成立。政党政治の基盤が強化された。,第2次護憲運動,第2次護憲運動。普通選挙要求,普通選挙:要求; 男子:25歳以上; 政党政治:発展,その他,3
1925年,東京で日本初のラジオ放送が始まる。マスメディアの発展により、情報が全国に瞬時に伝わるようになった。大衆文化の発展にも貢献した。,ラジオ放送開始,ラジオ放送開始。マスメディアの発展,東京:初放送; マスメディア:発展; 大衆文化:普及,文化,2
1929年,ニューヨーク株式市場で株価が大暴落し、世界恐慌が始まる。日本も深刻な不況に陥り、失業者が急増。農村は困窮し、軍部の発言力が強まった。昭和恐慌と呼ばれる。,世界恐慌,世界恐慌。昭和恐慌,ニューヨーク:株価暴落; 日本:不況; 軍部:台頭,その他,3
1932年,海軍青年将校らが犬養毅首相を暗殺。政党政治を批判し、軍部の政治介入が本格化。犬養の死で政党内閣は終わり、軍部の発言力が強まった。,五・一五事件,五・一五事件。首相暗殺,犬養毅:暗殺; 海軍将校:実行; 政党内閣:終了,その他,3
1933年,満州事変に対する国際連盟の非難決議を受け、日本は国際連盟を脱退。松岡洋右全権が演説後に退場。国際的孤立が深まり、軍国主義化が加速した。,国際連盟脱退,国際連盟脱退。国際的孤立,満州事変:非難; 松岡洋右:全権; 国際的孤立:深まる,その他,3
1936年,陸軍の青年将校が「昭和維新」を掲げてクーデターを決行。大蔵大臣高橋是清らを殺害し、東京の中心部を占拠。天皇の命で鎮圧されたが、軍部の政治支配が確立した。,二・二六事件,二・二六事件。陸軍のクーデター,陸軍将校:クーデター; 高橋是清:暗殺; 軍部:政治支配,その他,3
1936年,日本とドイツが共産主義（ソ連）に対抗する協定を結ぶ。翌1937年にイタリアも加わり日独伊三国防共協定となる。枢軸国の形成が始まった。,日独防共協定,日独防共協定。枢軸国の形成,ドイツ:協定相手; 共産主義:対抗; イタリア:1937年参加,その他,3
1938年,政府が戦争遂行のため、人的・物的資源を統制できる法律を制定。議会の承認なく動員令を発動でき、国民生活全体が戦争に動員された。,国家総動員法,国家総動員法。戦時統制,戦争:資源動員; 国民生活:統制; 議会:権限弱体化,その他,3
1939年,ドイツがポーランドに侵攻し、第二次世界大戦が始まる。イギリス・フランスがドイツに宣戦布告。日本は当初中立を保ったが、1940年に日独伊三国同盟を結んだ。,第二次世界大戦の開戦,第二次世界大戦開戦。ヨーロッパで戦火,ドイツ:ポーランド侵攻; イギリス・フランス:宣戦; 日本:当初中立,その他,3
1940年,日本・ドイツ・イタリアが軍事同盟を結ぶ。アメリカを牽制する狙いだったが、かえってアメリカとの対立を深めた。太平洋戦争への道を開いた。,日独伊三国同盟,日独伊三国同盟。枢軸国の結束,ドイツ・イタリア:同盟国; アメリカ:牽制対象; 太平洋戦争:導火線,その他,3
1941年,日本とソ連が相互不可侵を約束する中立条約を結ぶ。松岡洋右外相が調印。日本は南方進出に専念できるようになったが、ソ連は1945年に一方的に破棄した。,日ソ中立条約,日ソ中立条約。相互不可侵,ソ連:中立約束; 松岡洋右:外相; 1945年:一方的破棄,その他,3
1941年,日中戦争の長期化で、アメリカが日本への石油輸出を禁止。資源確保のため東南アジア進出を目指し、ハワイの真珠湾を奇襲攻撃。太平洋戦争（大東亜戦争）が始まり、日本は連合国と全面戦争に突入した。,真珠湾攻撃（太平洋戦争開戦）,真珠湾攻撃。太平洋戦争開戦,ハワイ:奇襲; アメリカ:石油禁輸; 太平洋戦争:開始,その他,3
1942年,太平洋のミッドウェー島沖で日米海軍が激突。日本は空母4隻を失う大敗北を喫し、戦局が転換。以後、日本は守勢に回った。,ミッドウェー海戦,ミッドウェー海戦。戦局の転換点,空母:4隻喪失; 日本:大敗; 戦局:守勢へ,その他,3
1943年,戦況悪化で兵力不足となり、大学生の徴兵猶予を停止。多くの学生が戦場に送られた。神宮外苑で壮行会が開かれ、若者が次々と出征した。,学徒出陣,学徒出陣。大学生の徴兵,大学生:徴兵; 兵力不足:原因; 神宮外苑:壮行会,その他,3
1944年,アメリカ軍が太平洋の要衝サイパン島を占領。日本本土が爆撃機の射程内に入り、東条英機内閣が総辞職。日本の敗色が濃厚になった。,サイパン島陥落,サイパン島陥落。本土爆撃射程内,サイパン島:占領; 本土:爆撃範囲; 東条内閣:総辞職,その他,3
1945年,アメリカ軍が沖縄に上陸し、激しい地上戦が展開。日本軍は組織的抵抗を続け、多くの住民も巻き込まれた。約20万人が犠牲となり、唯一の地上戦となった。,沖縄戦,沖縄戦。唯一の地上戦,沖縄:地上戦; 住民:巻き込まれる; 20万人:犠牲者,地理,3
1945年,アメリカが広島・長崎に原子爆弾を投下し、ソ連も参戦。8月15日、天皇がポツダム宣言を受諾し、日本は無条件降伏。第二次世界大戦が終わり、GHQによる占領が始まった。,ポツダム宣言の受諾,ポツダム宣言受諾。無条件降伏,原爆:広島・長崎; 8月15日:終戦; GHQ:占領開始,その他,3
1946年,GHQの指導の下、民主的な新憲法が公布される。国民主権・基本的人権の尊重・平和主義（戦争放棄）を三大原則とし、天皇は象徴となる。1947年5月3日に施行された。,日本国憲法の公布,日本国憲法公布。民主国家へ,国民主権:三原則; 平和主義:戦争放棄; 1947年5月3日:施行,その他,3
1949年,中国で共産党と国民党の内戦が続いていたが、毛沢東率いる共産党が勝利。中華人民共和国が成立し、蒋介石の国民党は台湾に逃れた。東アジアの冷戦構造が確立した。,中華人民共和国の成立,中華人民共和国成立。共産党の勝利,毛沢東:指導者; 共産党:勝利; 蒋介石:台湾へ,その他,3
1950年,北朝鮮（金日成）が韓国に侵攻し、朝鮮戦争が始まる。アメリカを中心とする国連軍が韓国を支援し、中国が北朝鮮を支援。1953年に休戦したが、朝鮮半島は分断されたまま。,朝鮮戦争の勃発,朝鮮戦争（1950-1953年）。南北分断,北朝鮮:侵攻; 国連軍:韓国支援; 中国:北朝鮮支援,その他,3
1951年,日本が48カ国と講和条約を結び、主権を回復。GHQの占領が終わり、独立国として国際社会に復帰。同時に日米安全保障条約も調印し、アメリカ軍が駐留を継続した。,サンフランシスコ平和条約,サンフランシスコ平和条約。主権回復,48カ国:講和; 主権:回復; 日米安保:同時調印,その他,3
1954年,警察予備隊・保安隊を改組し、自衛隊が発足。陸・海・空の三自衛隊が日本の防衛を担う。憲法第9条との関係で論争が続いている。,自衛隊の発足,自衛隊発足。日本の防衛組織,警察予備隊:前身; 陸海空:三自衛隊; 憲法9条:論争,その他,3
1956年,日本とソ連が国交を回復。シベリア抑留者が帰国し、日本は国際連合に加盟。しかし北方領土問題は未解決のまま残された。,日ソ共同宣言,日ソ共同宣言。国交回復,ソ連:国交回復; シベリア抑留者:帰国; 北方領土:未解決,その他,3
1964年,アジア初のオリンピックが東京で開催。新幹線や首都高速道路が完成し、日本の経済成長を世界にアピール。戦後復興の象徴となった。,東京オリンピック,東京オリンピック。戦後復興の象徴,アジア初:オリンピック; 新幹線:開業; 高度成長:象徴,スポーツ,2
1972年,アメリカの統治下にあった沖縄が日本に返還される。しかしアメリカ軍基地は残り、基地問題は現在も続いている。,沖縄返還,沖縄返還。日本復帰,アメリカ統治:終了; 日本復帰:実現; 基地問題:残存,地理,3
1973年,第四次中東戦争をきっかけに、産油国が石油価格を大幅引き上げ。日本経済は大打撃を受け、高度経済成長が終わった。トイレットペーパー騒動など社会混乱も発生。,石油危機（オイルショック）,石油危機。高度成長の終焉,中東戦争:原因; 石油価格:高騰; 高度成長:終了,その他,3
1978年,日本と中国が平和友好条約を結び、正式に国交を樹立。日中関係が正常化し、経済交流が活発化した。,日中平和友好条約,日中平和友好条約。国交正常化,中国:国交樹立; 平和友好:条約; 経済交流:活発化,その他,3
1989年,東西ドイツを分断していたベルリンの壁が崩壊。東欧の民主化が進み、冷戦の終結が近づいた。翌1990年にドイツは統一された。,ベルリンの壁崩壊,ベルリンの壁崩壊。冷戦終結へ,ベルリンの壁:崩壊; 東欧:民主化; ドイツ統一:1990年,その他,3
1991年,ソビエト連邦が解体し、ロシアなど15の独立国に分裂。約70年続いた社会主義体制が崩壊し、冷戦が終結。世界は新しい時代を迎えた。,ソ連崩壊,ソ連崩壊。冷戦の終結,ソ連:解体; 15カ国:独立; 冷戦:終結,その他,3
1995年,兵庫県南部でマグニチュード7.3の大地震が発生。神戸市を中心に6400人以上が犠牲となり、都市型災害の恐ろしさを示した。ボランティア活動が活発化した。,阪神・淡路大震災,阪神・淡路大震災。都市型災害,マグニチュード7.3:規模; 神戸:被災地; 6400人:犠牲者,地理,2
2011年,マグニチュード9.0の巨大地震が東北地方を襲い、大津波が発生。福島第一原子力発電所が事故を起こし、約2万人が犠牲となった。戦後最大の災害。,東日本大震災,東日本大震災。戦後最大の災害,マグニチュード9.0:史上最大級; 大津波:被害; 原発事故:福島,地理,3
