語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
菅義偉,すがよしひで,令和の首相,菅義偉は令和時代の首相。2020-21年に首相を務めた。新型コロナウイルス対策と東京五輪開催に尽力。デジタル庁を創設。1年で退陣。,首相|コロナ|東京五輪|令和,歴史-現代,人物名,,3
岸田文雄,きしだふみお,現職の首相,岸田文雄は令和時代の首相。2021年から首相を務める。「新しい資本主義」を掲げる。広島出身で、被爆地としての平和への思いを重視。,首相|新しい資本主義|広島|令和,歴史-現代,人物名,,3
岩倉使節団,いわくらしせつだん,明治政府の欧米視察団,岩倉使節団は1871年に欧米に派遣された明治政府の視察団。岩倉具視を全権大使とし、木戸孝允・大久保利通らが同行。不平等条約改正交渉と西洋文明視察が目的だった。,1871年|欧米視察|岩倉具視|明治維新,歴史-近代,出来事,,3
学制,がくせい,1872年の教育制度,学制は1872年に公布された日本初の近代的学校制度。「邑に不学の戸なく家に不学の人なからしめん」として、全国に小学校を設置。義務教育の基礎。,1872年|教育|小学校|明治時代,歴史-近代,出来事,,3
秩禄処分,ちつろくしょぶん,1876年の士族の俸禄廃止,秩禄処分は1876年に士族の俸禄を廃止した措置。金禄公債証書を発行して一時金を支給。士族の特権を奪い、近代国家への移行を進めたが、士族の反乱を招いた。,1876年|士族|俸禄|明治維新,歴史-近代,出来事,,3
廃刀令,はいとうれい,1876年の帯刀禁止令,廃刀令は1876年に士族の帯刀を禁止した法令。武士の象徴である刀を奪い、四民平等を実現。士族の不満を招き、神風連の乱や秋月の乱など各地で反乱が起きた。,1876年|士族|帯刀|四民平等,歴史-近代,出来事,,3
神風連の乱,じんぷうれんのらん,1876年の熊本での士族反乱,神風連の乱は1876年に熊本で起きた士族の反乱。廃刀令に反発した士族が挙兵したが、政府軍に鎮圧された。士族反乱の先駆けとなった。,1876年|士族|熊本|反乱,歴史-近代,出来事,,3
アメリカ合衆国,あめりかがっしゅうこく,北アメリカの大国,アメリカ合衆国は北アメリカに位置する連邦国家。50州から成る世界最大の経済大国。人口約3.3億人。首都はワシントンD.C.。多民族国家で、英語が公用語。,ワシントンD.C.|人口3.3億|多民族|世界最大経済,地理-世界,地名,,1
カナダ,かなだ,北アメリカの国,カナダは北アメリカに位置する国。面積は世界第2位。人口約3800万人。首都はオタワ。英語とフランス語が公用語。豊かな自然資源を持つ。,オタワ|面積世界2位|英仏語|資源国,地理-世界,,1|2|3
メキシコ,めきしこ,中央アメリカの国,メキシコは中央アメリカに位置する国。人口約1.3億人。首都はメキシコシティ。スペイン語が公用語。古代アステカ文明の中心地。石油産出国。,メキシコシティ|人口1.3億|スペイン語|石油,地理-世界,地名,,1
ブラジル,ぶらじる,南アメリカ最大の国,ブラジルは南アメリカ最大の国。面積・人口ともに世界第5位(人口約2.1億人)。首都はブラジリア。ポルトガル語が公用語。アマゾン川流域を持つ。コーヒー・大豆の生産国。,ブラジリア|人口2.1億|ポルトガル語|アマゾン,地理-世界,地名,,1
アルゼンチン,あるぜんちん,南アメリカの国,アルゼンチンは南アメリカ南部の国。人口約4500万人。首都はブエノスアイレス。スペイン語が公用語。パンパと呼ばれる大草原で牧畜が盛ん。,ブエノスアイレス|パンパ|牧畜|スペイン語,地理-世界,,1|2|3
チリ,ちり,南アメリカの細長い国,チリは南アメリカ西海岸の細長い国。南北に4300kmと長い。人口約1900万人。首都はサンティアゴ。銅の産出量世界一。アンデス山脈とアタカマ砂漠がある。,サンティアゴ|銅|アンデス|細長い,,1|2|3
ペルー,ぺるー,南アメリカの国,ペルーは南アメリカ西部の国。人口約3300万人。首都はリマ。スペイン語とケチュア語が公用語。インカ帝国の中心地。マチュピチュ遺跡で有名。,リマ|インカ|マチュピチュ|ケチュア語,地理-世界,,1|2|3
イギリス,いぎりす,ヨーロッパの島国,イギリス(英国)はヨーロッパ北西部の島国。正式名称はグレートブリテン及び北アイルランド連合王国。人口約6700万人。首都はロンドン。かつての大英帝国。,ロンドン|人口6700万|連合王国|英語,,1|2|3
フランス,ふらんす,ヨーロッパの大国,フランスは西ヨーロッパの国。人口約6700万人。首都はパリ。農業国で小麦・ぶどうの生産が盛ん。観光客数世界一。芸術・文化の中心地。,パリ|人口6700万|農業|観光,,1|2|3
ドイツ,どいつ,ヨーロッパの経済大国,ドイツは中央ヨーロッパの国。人口約8300万人。首都はベルリン。ヨーロッパ最大の経済大国。自動車工業が発達。EU の中心国。,ベルリン|人口8300万|自動車|EU,,1|2|3
イタリア,いたりあ,地中海の国,イタリアは南ヨーロッパの国。人口約6000万人。首都はローマ。古代ローマ帝国の中心地。ルネサンス発祥の地。パスタ・ピザなど料理が有名。,ローマ|人口6000万|ルネサンス|地中海,,1|2|3
スペイン,すぺいん,イベリア半島の国,スペインはイベリア半島の大部分を占める国。人口約4700万人。首都はマドリード。スペイン語が公用語。かつての大航海時代の覇者。オリーブ・オレンジの生産。,マドリード|人口4700万|スペイン語|大航海時代,,1|2|3
ロシア連邦,ろしあれんぽう,世界最大の国,ロシア連邦は世界最大の面積を持つ国。人口約1.4億人。首都はモスクワ。広大なシベリアを持つ。天然ガス・石油の産出国。旧ソビエト連邦。,モスクワ|面積世界1位|シベリア|資源国,地理-世界,地名,,1
中華人民共和国,ちゅうかじんみんきょうわこく,世界最大の人口を持つ国,中国は東アジアの大国。人口約14億人で世界最多。首都は北京。世界第2位の経済大国。急速な経済成長を遂げた。一党支配の社会主義国。,北京|人口14億|経済2位|社会主義,地理-世界,地名,,1
インド,いんど,南アジアの大国,インドは南アジアの国。人口約14億人。首都はニューデリー。IT産業が発達。人口が中国を抜き世界最多となる見込み。ヒンドゥー教徒が多数。,ニューデリー|人口14億|IT|ヒンドゥー教,地理-世界,地名,,1
インドネシア,いんどねしあ,東南アジア最大の国,インドネシアは東南アジアの島国。人口約2.7億人で世界第4位。首都はジャカルタ。約17000の島から成る。世界最大のイスラム教徒人口を持つ。,ジャカルタ|人口2.7億|島国|イスラム教,地理-世界,,1|2|3
タイ,たい,東南アジアの国,タイは東南アジアの国。人口約7000万人。首都はバンコク。仏教国。米の生産が盛ん。ASEANの中心国の一つ。観光業が発達。,バンコク|人口7000万|仏教|米,,1|2|3
ベトナム,べとなむ,東南アジアの国,ベトナムは東南アジアの国。人口約9800万人。首都はハノイ。南北に細長い国土。米の生産が盛ん。急速な経済成長を遂げている。,ハノイ|人口9800万|米|経済成長,,1|2|3
フィリピン,ふぃりぴん,東南アジアの島国,フィリピンは東南アジアの島国。人口約1.1億人。首都はマニラ。約7600の島から成る。カトリック教徒が多数。英語も公用語。,マニラ|人口1.1億|島国|カトリック,地理-世界,,1|2|3
マレーシア,まれーしあ,東南アジアの国,マレーシアは東南アジアの国。人口約3300万人。首都はクアラルンプール。多民族国家(マレー系・中国系・インド系)。パーム油・天然ゴムの生産国。,クアラルンプール|人口3300万|多民族|パーム油,,1|2|3
シンガポール,しんがぽーる,東南アジアの都市国家,シンガポールは東南アジアの都市国家。人口約570万人。首都機能も兼ねる。多民族国家。世界有数の金融センター。一人当たりGDPが高い。,都市国家|人口570万|金融|多民族,地理-世界,地名,,1
サウジアラビア,さうじあらびあ,中東の産油国,サウジアラビアは中東の国。人口約3500万人。首都はリヤド。世界最大の石油埋蔵量・産出量を持つ。イスラム教の聖地メッカがある。,リヤド|人口3500万|石油|メッカ,,1|2|3
アラブ首長国連邦,あらぶしゅちょうこくれんぽう,中東の産油国,アラブ首長国連邦(UAE)は7つの首長国の連邦。人口約1000万人。最大都市はドバイ。石油・天然ガスの産出国。金融・観光業も発達。,ドバイ|人口1000万|石油|連邦,,1|2|3
イラン,いらん,中東の国,イランは中東の国。人口約8400万人。首都はテヘラン。ペルシア語が公用語。石油産出国。イスラム共和国。古代ペルシア帝国の地。,テヘラン|人口8400万|石油|ペルシア,,1|2|3
イラク,いらく,中東の国,イラクは中東の国。人口約4000万人。首都はバグダッド。チグリス川・ユーフラテス川が流れる。古代メソポタミア文明発祥の地。石油産出国。,バグダッド|人口4000万|メソポタミア|石油,,1|2|3
トルコ,とるこ,アジアとヨーロッパにまたがる国,トルコはアジアとヨーロッパにまたがる国。人口約8400万人。首都はアンカラ。イスタンブールはボスポラス海峡を挟む。NATO加盟国。,アンカラ|人口8400万|イスタンブール|ボスポラス,,1|2|3
エジプト,えじぷと,北アフリカの国,エジプトは北アフリカの国。人口約1億人。首都はカイロ。ナイル川流域に人口が集中。ピラミッド・スフィンクスなど古代遺跡が有名。スエズ運河がある。,カイロ|人口1億|ナイル川|ピラミッド,地理-世界,地名,,1
南アフリカ共和国,みなみあふりかきょうわこく,アフリカ最南端の国,南アフリカ共和国はアフリカ最南端の国。人口約6000万人。首都は3つ(行政:プレトリア、立法:ケープタウン、司法:ブルームフォンテーン)。金・ダイヤモンドの産出国。,人口6000万|金ダイヤ|3つの首都|アフリカ,,1|2|3
ナイジェリア,ないじぇりあ,西アフリカ最大の国,ナイジェリアは西アフリカの国。人口約2.2億人でアフリカ最多。首都はアブジャ。石油産出国。多民族国家で250以上の民族がいる。,アブジャ|人口2.2億|石油|多民族,地理-世界,地名,,1
ケニア,けにあ,東アフリカの国,ケニアは東アフリカの国。人口約5400万人。首都はナイロビ。コーヒー・茶の生産が盛ん。サバンナ気候で野生動物が豊富。マラソン選手の強豪国。,ナイロビ|人口5400万|コーヒー|マラソン,,1|2|3
オーストラリア,おーすとらりあ,大洋州の大国,オーストラリアは大洋州の国。人口約2600万人。首都はキャンベラ。世界第6位の面積。鉱産資源が豊富。羊・牛の飼育が盛ん。英語圏。,キャンベラ|人口2600万|資源|英語,,1|2|3
ニュージーランド,にゅーじーらんど,大洋州の国,ニュージーランドは大洋州の島国。人口約500万人。首都はウェリントン。北島と南島の2つの主島から成る。羊の飼育が盛ん。先住民マオリの文化。,ウェリントン|人口500万|羊|マオリ,地理-世界,地名,,1
アマゾン川,あまぞんがわ,南アメリカ最大の川,アマゾン川は南アメリカを流れる世界最大級の川。流域面積・水量ともに世界最大。全長約6400km。アマゾン熱帯雨林を流れる。ブラジルを中心に流れる。,南アメリカ|世界最大流域|熱帯雨林|6400km,,1|2|3
ナイル川,ないるがわ,世界最長の川,ナイル川はアフリカ北東部を流れる川。全長約6650kmで世界最長。エジプトの生命線。古代エジプト文明を支えた。白ナイルと青ナイルが合流。,アフリカ|世界最長|エジプト|6650km,,1|2|3
ミシシッピ川,みししっぴがわ,北アメリカの大河,ミシシッピ川は北アメリカを流れる大河。全長約3780km。アメリカ合衆国を南北に貫く。ミズーリ川と合流。綿花地帯を流れる。,北アメリカ|アメリカ|3780km|綿花,,1|2|3
ライン川,らいんがわ,ヨーロッパの国際河川,ライン川は西ヨーロッパを流れる川。全長約1230km。スイス・ドイツ・オランダを流れる。工業地帯を流れる重要な水運路。国際河川。,ヨーロッパ|国際河川|1230km|水運,,1|2|3
ドナウ川,どなうがわ,ヨーロッパの国際河川,ドナウ川は中央・東ヨーロッパを流れる川。全長約2850km。10か国を流れる国際河川。「美しき青きドナウ」で有名。ウィーンを流れる。,ヨーロッパ|国際河川|2850km|10か国,,1|2|3
ガンジス川,がんじすがわ,インドの聖なる川,ガンジス川はインド・バングラデシュを流れる川。全長約2525km。ヒンドゥー教の聖なる川。ヒマラヤ山脈に源を発する。流域に多くの人口が集中。,インド|聖なる川|2525km|ヒマラヤ,,1|2|3
長江,ちょうこう,中国最長の川,長江(揚子江)は中国を流れる川。全長約6300kmでアジア最長。世界第3位の長さ。チベット高原に源を発し、上海で海に注ぐ。三峡ダムがある。,中国|アジア最長|6300km|三峡ダム,,1|2|3
黄河,こうが,中国文明の母なる川,黄河は中国北部を流れる川。全長約5464km。黄土高原を流れ、黄色く濁る。中国文明発祥の地。「中国の悲しみ」と呼ばれるほど洪水が多い。,中国|5464km|黄土高原|文明,,1|2|3
ヒマラヤ山脈,ひまらやさんみゃく,世界最高峰の山脈,ヒマラヤ山脈はアジア南部の山脈。世界最高峰エベレスト(8849m)を含む。「世界の屋根」と呼ばれる。インドプレートとユーラシアプレートの衝突で形成。,アジア|エベレスト|世界の屋根|8849m,,1|2|3
アルプス山脈,あるぷすさんみゃく,ヨーロッパの山脈,アルプス山脈はヨーロッパ中央部の山脈。最高峰はモンブラン(4810m)。スイス・フランス・イタリア・オーストリアなどにまたがる。氷河地形が発達。,ヨーロッパ|モンブラン|4810m|氷河,,1|2|3
ロッキー山脈,ろっきーさんみゃく,北アメリカの山脈,ロッキー山脈は北アメリカ西部の山脈。カナダからアメリカ合衆国まで南北約4800kmに及ぶ。最高峰はエルバート山(4401m)。豊富な鉱産資源。,北アメリカ|4,,1|2|3
アンデス山脈,あんですさんみゃく,南アメリカの山脈,アンデス山脈は南アメリカ西部の山脈。全長約7500kmで世界最長の山脈。最高峰はアコンカグア(6961m)。環太平洋造山帯に属する。,南アメリカ|世界最長|7,,1|2|3
サハラ砂漠,さはらさばく,世界最大の砂漠,サハラ砂漠は北アフリカの砂漠。面積約900万km²で世界最大の熱帯砂漠。東西約5600km、南北約1700km。ラクダのキャラバンで有名。石油・天然ガスを産出。,アフリカ|世界最大|900万km²|熱帯,,1|2|3
ゴビ砂漠,ごびさばく,アジアの砂漠,ゴビ砂漠は中国とモンゴルにまたがる砂漠。面積約130万km²。冷涼な気候の冷帯砂漠。恐竜の化石が多く発見される。シルクロードの一部。,アジア|130万km²|冷帯|モンゴル,地理-世界,その他,,1
アラビア半島,あらびあはんとう,中東の半島,アラビア半島は西アジアの半島。面積約300万km²で世界最大の半島。サウジアラビアなどが位置。石油・天然ガスの宝庫。イスラム教の聖地。,中東|世界最大半島|300万km²|石油,地理-世界,その他,,1
スカンディナビア半島,すかんでぃなびあはんとう,北ヨーロッパの半島,スカンディナビア半島は北ヨーロッパの半島。面積約75万km²。ノルウェーとスウェーデンが位置。氷河地形のフィヨルドが有名。豊富な森林資源。,北欧|75万km²|フィヨルド|ノルウェー,地理-世界,その他,,1
ボスポラス海峡,ぼすぽらすかいきょう,アジアとヨーロッパを分ける海峡,ボスポラス海峡はトルコのイスタンブールにある海峡。アジアとヨーロッパを分ける。黒海と地中海を結ぶ重要な水路。全長約30km、最狭部約700m。,トルコ|アジア欧州|30km|イスタンブール,地理-世界,その他,,1
スエズ運河,すえずうんが,地中海と紅海を結ぶ運河,スエズ運河はエジプトの運河。地中海と紅海を結ぶ。全長約193km。1869年開通。ヨーロッパとアジアを結ぶ重要な海上交通路。,エジプト|193km|1869年|地中海紅海,地理-世界,その他,,1
パナマ運河,ぱなまうんが,大西洋と太平洋を結ぶ運河,パナマ運河はパナマにある運河。大西洋(カリブ海)と太平洋を結ぶ。全長約80km。1914年完成。船舶の航路を大幅に短縮する重要な運河。,パナマ|80km|1914年|大西洋太平洋,地理-世界,その他,,1
グレートバリアリーフ,ぐれーとばりありーふ,世界最大のサンゴ礁,グレートバリアリーフはオーストラリア北東岸の世界最大のサンゴ礁。全長約2300km。世界遺産。地球上最大の生物構造。海洋生物の宝庫。,オーストラリア|世界最大|2300km|世界遺産,,1|2|3
京浜工業地帯,けいひんこうぎょうちたい,東京湾沿岸の工業地帯,京浜工業地帯は東京都・神奈川県にまたがる工業地帯。機械工業・化学工業が中心。日本最大の工業出荷額。川崎・横浜などに工場が集中。,東京神奈川|機械化学|出荷額最大|東京湾,地理-日本,その他,,1|2
中京工業地帯,ちゅうきょうこうぎょうちたい,名古屋を中心とする工業地帯,中京工業地帯は愛知県を中心とする工業地帯。自動車工業が盛ん。豊田市にトヨタ自動車の本社。繊維工業も発達。出荷額は日本第2位。,愛知|自動車|トヨタ|出荷額2位,地理-日本,その他,,1|2
阪神工業地帯,はんしんこうぎょうちたい,大阪・神戸を中心とする工業地帯,阪神工業地帯は大阪府・兵庫県にまたがる工業地帯。機械工業・化学工業・金属工業が中心。中小企業が多い。かつては日本最大だった。,大阪兵庫|機械化学|中小企業|かつて最大,地理-日本,その他,,1|2
北九州工業地帯,きたきゅうしゅうこうぎょうちたい,九州北部の工業地帯,北九州工業地帯は福岡県北部の工業地帯。鉄鋼業で発展。八幡製鉄所が中心。近年は機械工業も発達。かつては四大工業地帯の一つ。,福岡|鉄鋼|八幡製鉄|四大工業地帯,地理-日本,その他,,1|2
瀬戸内工業地域,せとうちこうぎょういき,瀬戸内海沿岸の工業地域,瀬戸内工業地域は瀬戸内海沿岸の工業地域。石油化学工業・造船業が中心。水島(岡山)・大竹(広島)などに工場が集中。埋め立て地に臨海工業地域。,瀬戸内海|石油化学|造船|水島,地理-日本,その他,,1|2
関東ローム層,かんとうろーむそう,関東平野の赤土層,関東ローム層は関東平野を覆う赤土の地層。火山灰が堆積してできた。水はけが良く、畑作に利用される。さつまいも・落花生などの栽培が盛ん。,関東平野|火山灰|赤土|畑作,地理-日本,その他,,1|2
シラス台地,しらすだいち,九州南部の火山灰台地,シラス台地は鹿児島県を中心とする火山灰台地。白っぽい火山灰が堆積。水はけが良すぎて稲作に不向き。畑作や畜産が行われる。,鹿児島|火山灰|白い|畑作畜産,地理-日本,その他,,1|2
カルスト地形,かるすとちけい,石灰岩の溶食地形,カルスト地形は石灰岩が雨水に溶けて形成される地形。ドリーネ(くぼ地)・鍾乳洞が特徴。山口県の秋吉台が有名。水はけが良く、水不足になりやすい。,石灰岩|秋吉台|鍾乳洞|ドリーネ,地理-日本,その他,,1|2
扇状地,せんじょうち,山地から平地への扇形の地形,扇状地は山地から平地に出た河川が土砂を堆積して形成する扇形の地形。水はけが良く、果樹園に利用される。山梨県の甲府盆地などが有名。,河川|扇形|果樹園|甲府盆地,地理-日本,その他,,1|2
三角州,さんかくす,河口部の堆積地形,三角州(デルタ)は河川が河口部で土砂を堆積して形成する地形。平坦で水が豊富。稲作に適する。広島市の太田川デルタなどが有名。,河口|デルタ|稲作|太田川,地理-日本,その他,,1|2
リアス海岸,りあすかいがん,複雑に入り組んだ海岸,リアス海岸は山地が沈降して形成された複雑に入り組んだ海岸。波が穏やか。養殖業に適する。三陸海岸・志摩半島などが有名。,沈降|入り組む|養殖|三陸,地理-日本,その他,,1|2
砂丘,さきゅう,砂が堆積した地形,砂丘は風によって砂が堆積した地形。鳥取砂丘が有名。乾燥していて農業に不向きだが、灌漑により畑作も行われる。らっきょうの栽培が盛ん。,風|砂|鳥取砂丘|らっきょう,地理-日本,その他,,1|2
稲作地帯,いなさくちたい,米の生産が盛んな地域,稲作地帯は米の生産が盛んな地域。新潟平野・秋田平野・庄内平野などが代表的。平坦な土地と豊富な水が必要。コシヒカリなどのブランド米生産。,米|平野|水|コシヒカリ,地理-日本,その他,,1|2
近郊農業,きんこうのうぎょう,大都市近郊での農業,近郊農業は大都市近郊で行われる農業。野菜・花などの鮮度が重要な作物を栽培。市場が近いため輸送に有利。首都圏・京阪神圏で盛ん。,大都市|野菜花|鮮度|首都圏,地理-日本,その他,,1|2
抑制栽培,よくせいさいばい,出荷時期を遅らせる栽培,抑制栽培は作物の出荷時期を遅らせる栽培方法。高冷地の気候を利用。長野県の野辺山高原などでレタス・キャベツを栽培。高値で出荷できる。,高冷地|遅らせる|野辺山|レタス,地理-日本,その他,,1|2
促成栽培,そくせいさいばい,出荷時期を早める栽培,促成栽培は作物の出荷時期を早める栽培方法。温暖な気候やビニールハウスを利用。高知県・宮崎県でピーマン・きゅうりを栽培。高値で出荷できる。,温暖|早める|高知宮崎|ビニールハウス,地理-日本,その他,,1|2
施設園芸,しせつえんげい,温室などを利用する農業,施設園芸はビニールハウス・温室などを利用する農業。季節に関係なく栽培できる。野菜・花の生産が中心。高知県・静岡県などで盛ん。,ビニールハウス|温室|周年栽培|高知静岡,地理-日本,その他,,1|2
高冷地農業,こうれいちのうぎょう,標高の高い涼しい地域での農業,高冷地農業は標高の高い涼しい地域で行われる農業。夏でも涼しい気候を利用。レタス・キャベツ・白菜などの高原野菜を栽培。長野県・群馬県で盛ん。,標高高い|涼しい|高原野菜|長野群馬,地理-日本,その他,,1|2
畜産,ちくさん,家畜の飼育,畜産は牛・豚・鶏などの家畜を飼育する産業。酪農(乳牛)は北海道が盛ん。肉牛は九州が盛ん。養豚は鹿児島県・宮崎県が盛ん。養鶏は全国で行われる。,家畜|酪農|北海道|九州,地理-日本,その他,,1|2
遠洋漁業,えんようぎょぎょう,遠い海での漁業,遠洋漁業は遠い海で行う大規模な漁業。マグロ・カツオなどを漁獲。大型の漁船を使用。200海里水域の設定で衰退。,遠い海|大型船|マグロカツオ|200海里,地理-日本,その他,,1|2
沖合漁業,おきあいぎょぎょう,沿岸から離れた海での漁業,沖合漁業は沿岸から離れた海で行う漁業。イワシ・サバ・アジなどを漁獲。日本の漁業生産の中心。底びき網漁・まき網漁が代表的。,離れた海|イワシサバ|底びき|まき網,地理-日本,その他,,1|2
沿岸漁業,えんがんぎょぎょう,沿岸近くでの漁業,沿岸漁業は沿岸近くで行う小規模な漁業。イカ・タイ・アジなどを漁獲。定置網漁・刺し網漁が代表的。漁業従事者の多くが従事。,沿岸|小規模|定置網|刺し網,地理-日本,その他,,1|2
栽培漁業,さいばいぎょぎょう,稚魚を放流して育てる漁業,栽培漁業は稚魚を放流して育て、成長後に漁獲する漁業。サケ・マダイ・ヒラメなどが対象。資源の保護と増殖を目的。孵化場で稚魚を育てる。,稚魚放流|サケ|資源保護|孵化場,地理-日本,その他,,1|2
養殖業,ようしょくぎょう,囲った場所で育てる漁業,養殖業は生け簀などの囲った場所で魚介類を育てる漁業。ブリ・マダイ・ハマチ・ノリ・カキなどが対象。安定した生産が可能。愛媛県・広島県が盛ん。,生け簀|ブリマダイ|安定生産|愛媛広島,地理-日本,その他,,1|2
林業,りんぎょう,森林を育て木材を生産する産業,林業は森林を育て木材を生産する産業。杉・檜の植林が中心。日本は国土の約3分の2が森林。輸入材の増加で国産材の利用は減少。,森林|木材|杉檜|輸入材,地理-日本,その他,,1|2
太平洋ベルト,たいへいようべると,太平洋沿岸の工業・人口集中地帯,太平洋ベルトは関東から九州北部までの太平洋沿岸の工業・人口集中地帯。日本の工業生産・人口の大部分が集中。高速道路・新幹線が整備。,太平洋沿岸|工業人口|関東九州|集中,地理-日本,その他,,1|2
過疎,かそ,人口が著しく減少すること,過疎は地域の人口が著しく減少すること。若者が都市に流出し、高齢化が進む。山間部・離島で深刻。学校・商店の閉鎖、公共交通の廃止などが起こる。,人口減少|高齢化|山間部|若者流出,地理-日本,その他,,1|2
過密,かみつ,人口が集中しすぎること,過密は都市部に人口が集中しすぎること。東京・大阪などの大都市で発生。交通渋滞・住宅不足・環境悪化などの問題が起こる。一極集中の是正が課題。,人口集中|都市|渋滞|一極集中,地理-日本,その他,,1|2
ドーナツ化現象,どーなつかげんしょう,都心の人口が減少し郊外が増加すること,ドーナツ化現象は都心の人口が減少し、郊外の人口が増加する現象。地価の高騰で都心に住めない人が郊外に移住。通勤時間の増加が問題。,都心減少|郊外増加|地価|通勤,地理-日本,その他,,1|2
三権分立,さんけんぶんりつ,権力を3つに分ける仕組み,三権分立は国家権力を立法・行政・司法の3つに分け、相互に抑制し合う仕組み。権力の集中を防ぎ、国民の自由を守る。モンテスキューが唱えた。,立法行政司法|モンテスキュー|権力抑制|民主主義,公民-政治,制度概念,,3
衆議院,しゅうぎいん,国会の下院,衆議院は国会を構成する議院の一つ。任期4年(解散あり)。定数465人。予算の先議権・内閣不信任決議権を持つ。参議院より強い権限(衆議院の優越)。,国会|任期4年|465人|優越,公民-政治,制度概念,,3
参議院,さんぎいん,国会の上院,参議院は国会を構成する議院の一つ。任期6年(解散なし)。3年ごとに半数改選。定数248人。衆議院の急進性を抑制する役割。良識の府。,国会|任期6年|248人|半数改選,公民-政治,制度概念,,3
内閣,ないかく,行政権を担う機関,内閣は行政権を担う最高機関。内閣総理大臣と国務大臣(現在20人程度)で組織。法律の執行・予算案の作成・外交などを行う。国会に対して連帯責任を負う。,行政権|総理大臣|国務大臣|連帯責任,公民-政治,制度概念,,3
最高裁判所,さいこうさいばんしょ,日本最高の司法機関,最高裁判所は日本の最高裁判所。違憲立法審査権を持ち、「憲法の番人」と呼ばれる。長官1人・裁判官14人。終審裁判所。国民審査の対象。,司法権|違憲審査|憲法の番人|国民審査,公民-政治,制度概念,,3
地方自治,ちほうじち,地方公共団体の自治,地方自治は地方公共団体が独自に政治を行うこと。「民主主義の学校」と呼ばれる。首長と議会議員を住民が直接選挙。地方分権の推進が課題。,都道府県|市町村|首長|議会,公民-政治,制度概念,,3
直接請求権,ちょくせつせいきゅうけん,住民が直接請求できる権利,直接請求権は地方自治において住民が直接請求できる権利。条例の制定・改廃請求、議会の解散請求、首長・議員の解職請求(リコール)などがある。,地方自治|条例|リコール|住民,公民-政治,制度概念,,3
違憲立法審査権,いけんりっぽうしんさけん,法律の合憲性を審査する権利,違憲立法審査権は裁判所が法律の合憲性を審査する権利。最高裁判所が最終的な判断を下す。法律が憲法に違反する場合は無効となる。,最高裁|憲法|裁判所|司法権,公民-政治,制度概念,,3
内閣不信任決議,ないかくふしんにんけつぎ,内閣への不信任を決議すること,内閣不信任決議は衆議院が内閣を信任しないと決議すること。可決されると、内閣は10日以内に衆議院を解散するか総辞職しなければならない。衆議院だけの権限。,衆議院|解散|総辞職|10日以内,公民-政治,制度概念,,3
衆議院の優越,しゅうぎいんのゆうえつ,衆議院が参議院より強い権限を持つこと,衆議院の優越は衆議院が参議院より強い権限を持つこと。法律案・予算・条約承認・内閣総理大臣指名で衆議院の議決が優先。解散があり国民の意思をより反映するため。,法律予算|条約|総理指名|国民意思,公民-政治,制度概念,,3
二大政党制,にだいせいとうせい,2つの政党が政権を争う制度,二大政党制は2つの大政党が政権を争う政党制度。イギリス・アメリカが代表例。政権交代が起こりやすい。小選挙区制で成立しやすい。,政権交代|小選挙区|イギリス米国|政党,公民-政治,制度概念,,3
多党制,たとうせい,複数の政党が並立する制度,多党制は3つ以上の政党が並立する政党制度。連立内閣が組まれやすい。比例代表制で成立しやすい。日本・ドイツなどが該当。多様な民意を反映。,連立内閣|比例代表|日本ドイツ|多様性,公民-政治,制度概念,,3
小選挙区制,しょうせんきょくせい,1選挙区から1人を選ぶ制度,小選挙区制は1選挙区から1人を選ぶ選挙制度。死票が多く、得票率と議席数が一致しにくい。二大政党制になりやすい。衆議院選挙で採用(289議席)。,1人|死票多い|二大政党|衆議院,公民-政治,制度概念,,3
比例代表制,ひれいだいひょうせい,得票率に応じて議席を配分する制度,比例代表制は政党の得票率に応じて議席を配分する選挙制度。死票が少なく、少数意見も反映される。多党制になりやすい。衆議院(176議席)・参議院(100議席)で採用。,得票率|死票少ない|多党制|政党,公民-政治,制度概念,,3
マニフェスト,まにふぇすと,政党の政策公約集,マニフェストは政党が選挙で掲げる具体的な政策公約集。数値目標・財源・実施期間を明示。有権者が政党を選ぶ判断材料。政権公約とも呼ばれる。,政策公約|数値目標|財源|選挙,公民-政治,制度概念,,3
世論,せろん,社会の多数の意見,世論は社会の多数の人々が持つ意見。マスメディア・世論調査で形成・把握される。民主政治で重要。ただし、少数意見の尊重も必要。,多数意見|世論調査|マスメディア|民主政治,公民-政治,制度概念,,3
マスメディア,ますめでぃあ,大衆に情報を伝える媒体,マスメディアは新聞・テレビ・ラジオ・インターネットなど、大衆に情報を伝える媒体。世論形成に大きな影響。「第四の権力」と呼ばれる。報道の自由と責任が重要。,新聞テレビ|世論形成|第四の権力|報道の自由,公民-政治,制度概念,,3
圧力団体,あつりょくだんたい,政治に影響を与える団体,圧力団体は特定の利益のために政治に影響を与える団体。労働組合・業界団体・市民団体など。陳情・ロビー活動を行う。利益集団とも呼ばれる。,利益集団|ロビー活動|労働組合|陳情,公民-政治,制度概念,,3
NPO,えぬぴーおー,非営利組織,NPOは営利を目的としない民間組織。Non-Profit Organizationの略。福祉・環境・国際協力などの分野で活動。NPO法で法人格取得が可能。,非営利|民間|法人|福祉環境,公民-政治,制度概念,,3
