語句,読み,意味,語源等解説,関連語,関連分野,難易度
Could you help me?,クッド ユー ヘルプ ミー,手伝ってもらえますか？,助けを求める表現。,Can you help me,お願い;助け,1
Of course,オブ コース,もちろん,承諾の表現。,Certainly;Sure,承諾;返事,1
No problem,ノー プロブレム,問題ありません,承諾の表現。,No worries,承諾;返事,1
I'm lost,アイム ロスト,道に迷いました,困った状況を表す表現。,I can't find my way,困り事;道案内,1
Can you show me on the map?,キャン ユー ショー ミー オン ザ マップ,地図で教えてもらえますか？,地図での説明を求める表現。,Could you point it out on the map,道案内;地図,1
How long does it take?,ハウ ロング ダズ イット テイク,どのくらいかかりますか？,所要時間を尋ねる表現。,How much time does it take,時間;質問,1
About ten minutes,アバウト テン ミニッツ,約10分です,時間を答える表現。,Around ten minutes,時間;返事,1
Is it far from here?,イズ イット ファー フロム ヒア,ここから遠いですか？,距離を尋ねる表現。,Is it a long way,距離;質問,1
It's very close,イッツ ベリー クローズ,とても近いです,距離を答える表現。,It's nearby,距離;返事,1
What's your phone number?,ワッツ ユア フォン ナンバー,電話番号を教えてください,連絡先を尋ねる表現。,Could I have your number,連絡先;情報,1
What's your email address?,ワッツ ユア イーメール アドレス,メールアドレスを教えてください,連絡先を尋ねる表現。,Could I have your email,連絡先;情報,1
Let me check,レット ミー チェック,確認させてください,確認する時の表現。,Let me see,確認;時間稼ぎ,1
I'll be right back,アイル ビー ライト バック,すぐ戻ります,一時的に離れる時の表現。,I'll return soon,離席;約束,1
Wait a moment,ウェイト ア モーメント,少々お待ちください,待ってもらう時の表現。,Just a moment,待機;時間,1
Sorry to keep you waiting,ソーリー トゥ キープ ユー ウェイティング,お待たせしてすみません,待たせた後の謝罪。,Sorry for the wait,謝罪;待機,1
What's the matter?,ワッツ ザ マター,どうしましたか？,問題を尋ねる表現。,What's wrong,心配;質問,1
Nothing special,ナッシング スペシャル,特に何も,特別なことがない時の返答。,Nothing much,返事;日常,1
How about you?,ハウ アバウト ユー,あなたはどうですか？,相手に同じ質問を返す表現。,What about you,質問;会話,1
Same here,セイム ヒア,私も同じです,同意を示す表現。,Me too,同意;返事,1
That sounds good,ザット サウンズ グッド,それは良いですね,提案に賛成する表現。,That sounds great,同意;賛成,1
I agree,アイ アグリー,賛成です,同意を表す表現。,I think so too,同意;賛成,1
I disagree,アイ ディスアグリー,反対です,反対を表す表現。,I don't think so,反対;意見,1
That's interesting,ザッツ インタレスティング,それは面白いですね,興味を示す表現。,How interesting,興味;反応,1
Really?,リアリー,本当ですか？,驚きや興味を示す表現。,Is that so,驚き;質問,1
I see,アイ シー,なるほど,理解を示す表現。,I understand,理解;返事,1
That makes sense,ザット メイクス センス,それは理にかなっています,納得を示す表現。,That's logical,理解;納得,1
I'm not sure,アイム ノット シュア,よく分かりません,不確実さを表す表現。,I'm uncertain,不確実;返事,1
Maybe,メイビー,たぶん,可能性を表す表現。,Perhaps;Possibly,可能性;返事,1
Definitely,デフィニットリー,絶対に,確実性を表す表現。,Certainly;Absolutely,確実;強調,1
Probably,プロバブリー,おそらく,高い可能性を表す表現。,Most likely,可能性;推測,1
I hope so,アイ ホープ ソー,そうだといいのですが,希望を表す表現。,I wish so,希望;願い,1
I don't think so,アイ ドント シンク ソー,そうは思いません,否定的な意見を表す表現。,I doubt it,否定;意見,1
Let me think,レット ミー シンク,考えさせてください,思考時間を求める表現。,Let me see,思考;時間,1
Good idea,グッド アイデア,良い考えですね,提案を褒める表現。,That's a great idea,賛成;褒め言葉,1
What do you think?,ワット ドゥ ユー シンク,どう思いますか？,意見を求める表現。,What's your opinion,意見;質問,1
I think it's good,アイ シンク イッツ グッド,良いと思います,肯定的な意見を表す表現。,I believe it's good,意見;肯定,1
Would you like to come?,ウッド ユー ライク トゥ カム,来ませんか？,誘いの表現。,Do you want to come,誘い;提案,1
I'd love to,アイド ラブ トゥ,ぜひお願いします,誘いを受ける表現。,I'd like to,承諾;喜び,1
I'm sorry I can't,アイム ソーリー アイ キャント,すみません行けません,誘いを断る表現。,I'm afraid I can't,断り;謝罪,1
Another time,アナザー タイム,また今度,誘いを延期する表現。,Next time,延期;約束,1
What are you doing?,ワット アー ユー ドゥーイング,何をしていますか？,現在の行動を尋ねる表現。,What are you up to,質問;行動,1
I'm studying,アイム スタディング,勉強しています,現在の行動を答える表現。,I am studying,返事;学習,1
I'm working,アイム ワーキング,働いています,現在の行動を答える表現。,I am working,返事;仕事,1
I'm watching TV,アイム ウォッチング ティーヴィー,テレビを見ています,現在の行動を答える表現。,I am watching television,返事;娯楽,1
What did you do yesterday?,ワット ディド ユー ドゥ イエスタデー,昨日何をしましたか？,過去の行動を尋ねる表現。,What did you do last night,質問;過去,1
I went shopping,アイ ウェント ショッピング,買い物に行きました,過去の行動を答える表現。,I did some shopping,返事;過去,1
I stayed home,アイ ステイド ホーム,家にいました,過去の行動を答える表現。,I remained at home,返事;過去,1
What are you going to do tomorrow?,ワット アー ユー ゴーイング トゥ ドゥ トゥモロー,明日何をする予定ですか？,未来の予定を尋ねる表現。,What will you do tomorrow,質問;未来,1
I'm going to meet my friend,アイム ゴーイング トゥ ミート マイ フレンド,友達に会う予定です,未来の予定を答える表現。,I will meet my friend,返事;未来,1
Have you ever been to Tokyo?,ハブ ユー エバー ビーン トゥ トーキョー,東京に行ったことがありますか？,経験を尋ねる表現。,Have you visited Tokyo,質問;経験,1
Yes I have,イエス アイ ハブ,はいあります,経験に関する肯定的返答。,Yes I've been there,返事;経験,1
No I haven't,ノー アイ ハブント,いいえありません,経験に関する否定的返答。,No never,返事;経験,1
How was your trip?,ハウ ワズ ユア トリップ,旅行はどうでしたか？,過去の体験を尋ねる表現。,How was your vacation,質問;旅行,1
It was wonderful,イット ワズ ワンダフル,素晴らしかったです,過去の体験を答える表現。,It was great,返事;感想,1
What's your favorite food?,ワッツ ユア フェイバリット フード,好きな食べ物は何ですか？,好みを尋ねる表現。,What food do you like best,質問;好み,1
I love sushi,アイ ラブ スシ,寿司が大好きです,好みを答える表現。,I really like sushi,返事;好み,1
Do you like Japanese food?,ドゥ ユー ライク ジャパニーズ フード,日本料理は好きですか？,特定の料理について尋ねる表現。,Are you fond of Japanese food,質問;料理,1
It's delicious,イッツ デリシャス,美味しいです,料理の感想を表す表現。,It tastes good,感想;料理,1
I'm full,アイム フル,お腹いっぱいです,満腹を表す表現。,I've had enough,満腹;食事,1
The weather is nice today,ザ ウェザー イズ ナイス トゥデー,今日は良い天気ですね,天気について話す表現。,It's a beautiful day,天気;日常,1
It's hot today,イッツ ホット トゥデー,今日は暑いです,暑さを表す表現。,Today is hot,天気;暑さ,1
It's cold today,イッツ コールド トゥデー,今日は寒いです,寒さを表す表現。,Today is cold,天気;寒さ,1
Do you have any plans for the weekend?,ドゥ ユー ハブ エニー プランズ フォー ザ ウィークエンド,週末の予定はありますか？,週末の計画を尋ねる表現。,What are you doing this weekend,質問;予定,1
Not yet,ノット イエット,まだです,まだ決まっていない時の返答。,Not so far,返事;未定,1
Let's go together,レッツ ゴー トゥゲザー,一緒に行きましょう,誘いの表現。,Shall we go together,誘い;提案,1
That would be great,ザット ウッド ビー グレート,それは素晴らしいです,提案への肯定的返答。,That sounds wonderful,賛成;喜び,1
What time shall we meet?,ワット タイム シャル ウィー ミート,何時に会いましょうか？,待ち合わせ時間を決める表現。,When should we meet,約束;時間,1
How about 3 PM?,ハウ アバウト スリー ピーエム,午後3時はどうですか？,時間を提案する表現。,What about 3 o'clock,提案;時間,1
That's fine with me,ザッツ ファイン ウィズ ミー,私は大丈夫です,提案に同意する表現。,That works for me,同意;承諾,1
Where shall we meet?,ウェア シャル ウィー ミート,どこで会いましょうか？,待ち合わせ場所を決める表現。,Where should we meet,約束;場所,1
How about at the station?,ハウ アバウト アット ザ ステーション,駅はどうですか？,場所を提案する表現。,What about the station,提案;場所,1
I'll be there,アイル ビー ゼア,そこにいます,約束を確認する表現。,I will be there,約束;確認,1
Don't be late,ドント ビー レイト,遅れないでください,時間を守るよう頼む表現。,Please be on time,お願い;時間,1
I'm running late,アイム ランニング レイト,遅れています,遅刻を知らせる表現。,I'm behind schedule,遅刻;連絡,1
Sorry I'm late,ソーリー アイム レイト,遅れてすみません,遅刻の謝罪。,Sorry for being late,謝罪;遅刻,1
No worries,ノー ワーリーズ,心配いりません,相手を安心させる返答。,Don't worry about it,安心;返事,1
Shall we go?,シャル ウィー ゴー,行きましょうか？,出発を促す表現。,Are you ready to go,出発;確認,1
Let's go,レッツ ゴー,行きましょう,出発の表現。,Come on let's go,出発;促し,1
This way please,ディス ウェイ プリーズ,こちらへどうぞ,案内する表現。,Follow me please,案内;誘導,1
After you,アフター ユー,お先にどうぞ,相手を先に通す表現。,You first,礼儀;順番,1
Excuse me,エクスキューズ ミー,失礼します,通してもらう時の表現。,Pardon me,礼儀;通行,1
I beg your pardon?,アイ ベッグ ユア パードン,もう一度お願いします,聞き返す丁寧な表現。,Could you repeat that,聞き返し;丁寧,1
What did you say?,ワット ディド ユー セイ,何と言いましたか？,聞き返す表現。,Could you say that again,聞き返し;質問,1
I didn't catch that,アイ ディドント キャッチ ザット,聞き取れませんでした,理解できなかった時の表現。,I didn't hear that,聞き返し;理解,1
Could you speak up?,クッド ユー スピーク アップ,もう少し大きな声で話してもらえますか？,音量を上げてもらう表現。,Can you speak louder,お願い;音量,1
I can't hear you,アイ キャント ヒア ユー,聞こえません,聞こえない時の表現。,I cannot hear you,聞き取り;困り事,1
The line is bad,ザ ライン イズ バッド,電話の調子が悪いです,電話の音質について。,The connection is poor,電話;技術的問題,1
Can you hear me now?,キャン ユー ヒア ミー ナウ,今聞こえますか？,音声確認の表現。,Is this better,確認;音声,1
Yes that's better,イエス ザッツ ベター,はい良くなりました,音質改善の確認。,Yes I can hear you now,確認;改善,1
Hold on please,ホールド オン プリーズ,少々お待ちください,電話で待ってもらう表現。,Please wait,電話;待機,1
I'll put you through,アイル プット ユー スルー,おつなぎします,電話の取り次ぎ表現。,I'll transfer you,電話;取り次ぎ,1
He's not in right now,ヒーズ ノット イン ライト ナウ,彼は今いません,不在を伝える表現。,He's not available,電話;不在,1
Can I take a message?,キャン アイ テイク ア メッセージ,伝言をお受けしましょうか？,伝言を申し出る表現。,Would you like to leave a message,電話;伝言,1
Please tell him I called,プリーズ テル ヒム アイ コールド,電話があったと伝えてください,伝言を頼む表現。,Let him know I called,電話;伝言,1
I'll call back later,アイル コール バック レイター,後でかけ直します,再度電話することを伝える表現。,I'll try again later,電話;約束,1
Thank you for calling,サンキュー フォー コーリング,お電話ありがとうございます,電話での感謝表現。,Thanks for your call,電話;感謝,1
Have a good day,ハブ ア グッド デイ,良い一日を,電話を切る時の挨拶。,Have a nice day,電話;別れ,1
Goodbye,グッドバイ,さようなら,別れの挨拶。,Bye,別れ;挨拶,1
See you,シー ユー,また会いましょう,別れの挨拶。,See you around,別れ;約束,1
Take it easy,テイク イット イージー,気楽に,別れ際の励ましの言葉。,Relax,別れ;励まし,1
