語句,読み,意味,解説,関連事項,例文1,例文2
ここに,ここに,ここで・この時,接続詞的に使われ、話の展開を示す。「ここで」「この時」「すると」の意。「ここに一人の僧あり」（ここに一人の僧がいた）。,接続詞|展開|ここで|この時|すると|種別:古文単語,中納言参り給ひて、御扇奉らせ給ふに（ここに）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（ここに）＜いつの帝の御代であったか。＞【源氏物語】
御前,おまえ・ごぜん,貴人の前・貴人の居場所,貴人のいる場所や、貴人の前を指す尊敬語。「御前に参る」（貴人の前に参上する）。現代語の「おまえ」とは全く異なる。,名詞|尊敬語|貴人|宮中|居場所|時代:平安時代|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（おまえ・ごぜん）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（おまえ・ごぜん）＜この世は無常である。＞【平家物語】
女房,にょうぼう,宮中・貴族の家に仕える女性,宮中や貴族の邸宅で仕える女性。侍女。身分の高い女性も含む。「女房たち集まりて」。現代語の「妻」の意味ではない。,名詞|女性|宮中|侍女|貴族|時代:平安時代|種別:古文単語,奥山に、猫またといふものありて、人を食ふなる（にょうぼう）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（にょうぼう）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
局,つぼね,女房の部屋,宮中や貴族邸で、女房が使う個室。「局に籠る」。転じて、その部屋の主である女房を指すこともある。,名詞|部屋|女房|宮中|個室|時代:平安時代|種別:古文単語,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（つぼね）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（つぼね）＜春は夜明けがよい。＞【枕草子】
君達,きんだち,貴族の子弟,貴族の息子や娘を指す敬称。「きんだち」と読む。「若君達」などの形で使われる。身分の高い若者への呼称。,名詞|敬称|貴族|子弟|若者|時代:平安時代|種別:古文単語,世の中にたえて桜のなかりせば、春の心はのどけからまし（きんだち）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（きんだち）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
御曹司,おんぞうし,貴族の子息,貴族の息子、特に嫡子を指す敬称。「ぞうし」は「蔵人」の転。現代語では総理大臣の息子などに使われる。,名詞|敬称|貴族|子息|嫡子|時代:平安時代|種別:古文単語,やうやう白くなりゆく山ぎは（おんぞうし）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（おんぞうし）＜いつの帝の御代であったか。＞【源氏物語】
上,うえ,身分の高い人,高貴な人、主人、天皇などを指す敬称。「上に申す」「上の御前」。文脈により意味が変わる多義語。,名詞|敬称|身分|主人|天皇|時代:平安時代|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり（うえ）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（うえ）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
宮仕え,みやづかえ,宮中に仕えること,宮中や貴族の邸宅で働くこと。特に女性が宮中で女房として仕えること。「宮仕えに出づ」。,名詞|動詞|宮中|仕える|女房|時代:平安時代|種別:古文単語,世の中にたえて桜のなかりせば、春の心はのどけからまし（みやづかえ）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（みやづかえ）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
対,たい,貴族邸の建物,寝殿造りの主要建物の一つ。寝殿の東西に配置される建物。「東の対」「西の対」。住居や控え室として使われる。,名詞|建築|寝殿造り|貴族|邸宅|時代:平安時代|種別:古文単語,いづれの御時にか（たい）＜いつの帝の御代であったか。＞【源氏物語】,月日は百代の過客にして、行きかふ年も又旅人也（たい）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
几帳,きちょう,間仕切りの調度,布を張った可動式の間仕切り。貴族の住居で目隠しやプライバシー保護に使用。「几帳の陰」などの表現。,名詞|調度|間仕切り|貴族|プライバシー|時代:平安時代|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり（きちょう）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（きちょう）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
御簾,みす,簾のカーテン,竹などで編んだすだれ。貴族の住居で部屋を仕切る。「御簾を巻き上げる」。中の様子を隠す役割。,名詞|調度|すだれ|貴族|目隠し|時代:平安時代|種別:古文単語,世にしたがへば、身苦し。（みす）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（みす）＜物事は常に移り変わる。＞【方丈記】
やる,やる,贈る・送る・行かせる,「やる」は「贈る」「送る」「行かせる」の意。他動詞。「文をやる」（手紙を送る）「人をやる」（人を行かせる）。現代語より広い意味。,動詞|贈る|送る|行かせる|他動詞|時代:平安時代|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり（やる）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（やる）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
わぶ,わぶ,嘆く・困る,「わぶ」は「嘆く」「困る」「侘びる」の意。バ行上二段活用。「わびて」「わびぬ」の形で頻出。つらい状況で使われる。,動詞|嘆く|困る|侘びる|上二段|時代:平安時代|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（わぶ）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（わぶ）＜この世は無常である。＞【平家物語】
わびし,わびし,つらい・みすぼらしい,形容詞で「つらい」「困った」「みすぼらしい」の意。「わびしき身」「わびしく思ふ」。「わぶ」の形容詞形。侘しい状況を表す。,形容詞|つらい|困った|みすぼらしい|侘びる|時代:平安時代|種別:古文単語,春はあけぼの。（わびし）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（わびし）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
らうたし,らうたし,かわいらしい,形容詞で「かわいらしい」「いとおしい」の意。幼い者や小さいものへの愛情を表す。「らうたき子」「らうたくて」。平安時代特有の美意識。,形容詞|かわいらしい|いとおしい|愛情|美意識|時代:平安時代|種別:古文単語,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（らうたし）＜行き先を勘違いして失敗する話。＞【徒然草】,ゆく河の流れは絶えずして、しかももとの水にあらず（らうたし）＜物事は常に移り変わる。＞【方丈記】
うつくし,うつくし,かわいらしい・美しい,形容詞で「かわいらしい」「美しい」の意。現代語の「美しい」より「かわいい」に近い。小さいもの、愛らしいものへの感情。枕草子「うつくしきもの」。,形容詞|かわいらしい|美しい|愛らしい|枕草子|時代:平安時代|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（うつくし）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（うつくし）＜この世は無常である。＞【平家物語】
めでたし,めでたし,素晴らしい・立派だ,形容詞で「素晴らしい」「立派だ」「すぐれている」の意。賞賛を表す。「めでたき人」。現代語の「めでたい」とニュアンスが異なる。,形容詞|素晴らしい|立派|すぐれている|賞賛|時代:平安時代|種別:古文単語,少しのことにも先達はあらまほしきことなり（めでたし）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】,中納言参り給ひて、御扇奉らせ給ふに（めでたし）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】
あはれなり,あわれなり,しみじみとした,形容動詞で「しみじみとした」「趣深い」の意。「もののあはれ」の「あはれ」。感動・共感を表す。平安文学の美意識の中心概念。,形容動詞|しみじみ|趣深い|感動|もののあはれ|時代:平安時代|種別:古文単語,秋は夕暮れ。（あわれなり）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（あわれなり）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
をかし,をかし,趣がある・興味深い,形容詞で「趣がある」「興味深い」「美しい」の意。知的・感覚的な美を表す。「あはれ」より客観的。枕草子の美意識。,形容詞|趣がある|興味深い|美しい|枕草子|時代:平安時代|種別:古文単語,秋は夕暮れ。（をかし）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（をかし）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
つきづきし,つきづきし,ふさわしい・似合う,形容詞で「ふさわしい」「似合っている」「調和している」の意。「つきづきしき人」。場面や状況に適している様子を表す。,形容詞|ふさわしい|似合う|調和|適切|時代:平安時代|種別:古文単語,つれづれなるままに（つきづきし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（つきづきし）＜行き先を勘違いして失敗する話。＞【徒然草】
おぼゆ,おぼゆ,思われる・思い出される,「おぼゆ」は「思われる」「思い出される」「似ている」の意。ヤ行下二段活用。自発的な思いや記憶を表す。「美しくおぼゆ」「昔おぼえて」。,動詞|思われる|自発|記憶|下二段|時代:平安時代|種別:古文単語,月日は百代の過客にして、行きかふ年も又旅人也（おぼゆ）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（おぼゆ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
おどろく,おどろく,目が覚める・驚く,「おどろく」は「目が覚める」「気づく」「驚く」の意。カ行四段活用。現代語の「驚く」より広い意味。「夢よりおどろく」（夢から覚める）。,動詞|目が覚める|気づく|驚く|四段|時代:平安時代|種別:古文単語,一つには、高く、やんごとなき人（おどろく）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】,花は盛りに、月は隈なきをのみ、見るものかは（おどろく）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】
おこたる,おこたる,病気が治る・怠る,「おこたる」は「病気が治る」「怠ける」の意。ラ行四段活用。「病おこたる」（病気が治る）。現代語と意味が異なる場合がある。,動詞|病気が治る|怠る|四段|治癒|時代:平安時代|種別:古文単語,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（おこたる）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（おこたる）＜危険は油断した時に起こる。＞【徒然草】
あく,あく,開く,「あく」は「開く」の意。カ行四段活用。「戸あく」「目あく」。自動詞。他動詞は「開く」（あく）。現代語とほぼ同じ。,動詞|開く|自動詞|四段|戸|時代:平安時代|種別:古文単語,今となっては昔のことだが（あく）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（あく）＜この世は無常である。＞【平家物語】
あやし,あやし,不思議だ・身分が低い,形容詞で「不思議だ」「怪しい」「身分が低い」「粗末だ」の意。多義語。「あやしき者」（身分の低い者）「あやしと思ふ」（不思議だと思う）。,形容詞|不思議|身分低い|怪しい|粗末|時代:平安時代|種別:古文単語,春はあけぼの（あやし）＜春は夜明けがよい。＞【枕草子】,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（あやし）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】
ありがたし,ありがたし,めったにない・すばらしい,形容詞で「めったにない」「珍しい」「すばらしい」の意。「有り難し」の原義は「存在し難い」。現代語の「ありがたい」より広い意味。,形容詞|めったにない|珍しい|すばらしい|稀少|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて（ありがたし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（ありがたし）＜友にしてはいけない人が七種類いる。＞【徒然草】
いかで,いかで,どうして・なんとかして,副詞で疑問「どうして」と願望「なんとかして」の二義。「いかでか知らむ」（どうして知ろうか）「いかで会はむ」（なんとかして会いたい）。,副詞|疑問|願望|どうして|なんとかして|時代:平安時代|種別:古文単語,男もすなる日記といふものを、女もしてみむとて、するなり（いかで）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（いかで）＜退屈なので、硯に向かって書きつける。＞【徒然草】
いかに,いかに,どのように・どんなに,副詞で疑問「どのように」と程度「どんなに」の意。「いかに思ふ」（どう思うか）「いかに悲しき」（どんなに悲しいことか）。,副詞|疑問|程度|どのように|どんなに|時代:平安時代|種別:古文単語,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（いかに）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（いかに）＜春は夜明けがよい。＞【枕草子】
いづくに,いづくに,どこに,疑問の副詞。場所を尋ねる。「いづくに住む」（どこに住むか）。「いづこに」とも。現代語の「どこに」。,副詞|疑問|場所|どこに|いづこ|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて（いづくに）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（いづくに）＜友にしてはいけない人が七種類いる。＞【徒然草】
ゆくりなし,ゆくりなし,思いがけない・突然の,形容詞で「思いがけない」「突然の」「不意の」の意。「ゆくりなき事」（思いがけないこと）。予期しない出来事を表す。,形容詞|思いがけない|突然|不意|予期しない|時代:平安時代|種別:古文単語,友とするにわろき者、七つあり（ゆくりなし）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（ゆくりなし）＜かわいいものを列挙する。＞【枕草子】
ねんごろなり,ねんごろなり,丁寧だ・熱心だ,形容動詞で「丁寧だ」「親切だ」「熱心だ」の意。「ねんごろに言ふ」（丁寧に言う）。心を込めた様子を表す。,形容動詞|丁寧|親切|熱心|懇ろ|時代:平安時代|種別:古文単語,奥山に、猫またといふものありて、人を食ふなる（ねんごろなり）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（ねんごろなり）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
はかなし,はかなし,頼りない・儚い,形容詞で「頼りない」「儚い」「取るに足りない」の意。「はかなき命」（儚い命）。無常観を表す重要語。,形容詞|頼りない|儚い|無常|取るに足りない|時代:平安時代|種別:古文単語,いづれの御時にか（はかなし）＜いつの帝の御代であったか。＞【源氏物語】,月日は百代の過客にして、行きかふ年も又旅人也（はかなし）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
ゆゆしげなり,ゆゆしげなり,恐ろしげだ・立派そうだ,形容動詞で「恐ろしげだ」「不吉そうだ」「立派そうだ」の意。「ゆゆし」の様態形。「ゆゆしげなる夢」（不吉そうな夢）。,形容動詞|恐ろしげ|不吉そう|立派そう|様態|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし硯に向かひて（ゆゆしげなり）＜退屈なので、硯に向かって書きつける。＞【徒然草】,少しのことにも先達はあらまほしきことなり（ゆゆしげなり）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】
参上す,参上す,参上する,「参上す」は「参上する」「伺う」の意。サ行変格活用。謙譲語。「御前に参上す」。現代語とほぼ同じ用法。,動詞|謙譲語|参上|伺う|サ変|時代:平安時代|種別:古文重要動詞,やうやう白くなりゆく山ぎは（参上す）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（参上す）＜いつの帝の御代であったか。＞【源氏物語】
申し上ぐ,申し上ぐ,申し上げる,「申し上ぐ」は「申し上げる」の意。ガ行下二段活用。謙譲語。「事を申し上ぐ」。「申す」+「上ぐ」の複合動詞。,動詞|謙譲語|申し上げる|下二段|複合|時代:平安時代|種別:古文重要動詞,世にしたがへば、身苦し。（申し上ぐ）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（申し上ぐ）＜物事は常に移り変わる。＞【方丈記】
賜る,たまわる,いただく・くださる,「賜る」は謙譲語で「いただく」、尊敬語で「くださる」の意。ラ行四段活用。二義あり文脈で判断。「御文を賜る」（お手紙をいただく）。,動詞|謙譲語|尊敬語|いただく|四段|時代:平安時代|種別:古文重要動詞,月日は百代の過客にして、行きかふ年も又旅人也（たまわる）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（たまわる）＜退屈なので、硯に向かって書きつける。＞【徒然草】
