語句,読み,意味,解説,関連事項,例文1,例文2
聞こゆ・聞こえさす,きこゆ・きこえさす,謙譲の補助動詞,「聞こゆ」「聞こえさす」は謙譲語の補助動詞。「〜申し上げる」の意。「聞こえさす」は「聞こゆ」より丁重。「申し聞こゆ」など。,補助動詞|謙譲|聞こゆ|聞こえさす|申し上げる|時代:平安時代|種別:古文表現,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（きこゆ・きこえさす）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（きこゆ・きこえさす）＜春は夜明けがよい。＞【枕草子】
参る,まいる,謙譲の補助動詞,「参る」は謙譲語の補助動詞。「〜申し上げる」の意。「申し参らす」「書き参らす」。貴人への動作を表す。現代語とほぼ同じ用法。,補助動詞|謙譲|参る|申し上げる|貴人|時代:平安時代|種別:古文表現,月日は百代の過客にして、行きかふ年も又旅人也（まいる）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（まいる）＜退屈なので、硯に向かって書きつける。＞【徒然草】
春はあけぼの,はるはあけぼの,枕草子の冒頭,「春はあけぼの。やうやう白くなりゆく山ぎは、すこしあかりて」という『枕草子』の有名な冒頭。四季の美を詠む。清少納言の美意識の象徴。,枕草子|清少納言|春|あけぼの|冒頭|時代:平安時代|種別:名文句,中納言参り給ひて、御扇奉らせ給ふに（はるはあけぼの）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（はるはあけぼの）＜いつの帝の御代であったか。＞【源氏物語】
本意,ほい,本来の願い・念願,「本意」は本来の願い、念願、かねてからの望みの意。「本意を遂ぐ」（念願を遂げる）。重要な目標や願望を表す。,名詞|願い|念願|望み|目標|時代:平安時代|種別:古文表現,世の中にたえて桜のなかりせば、春の心はのどけからまし（ほい）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（ほい）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
いみじう心憂し,いみじううれうし,非常につらい,「いみじう心憂し」は「非常につらい」「ひどく悲しい」の意。強い悲嘆を表す慣用表現。『源氏物語』などで頻出。,慣用句|つらい|悲しい|悲嘆|心憂し|時代:平安時代|種別:古文表現,月日は百代の過客にして、行きかふ年も又旅人也（いみじううれうし）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（いみじううれうし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
世の常ならず,よのつねならず,普通でない・格別だ,「世の常ならず」は「普通でない」「格別だ」「並外れている」の意。特別な状態を表す慣用表現。,慣用句|普通でない|格別|並外れている|特別|時代:平安時代|種別:古文表現,世にしたがへば、身苦し。（よのつねならず）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（よのつねならず）＜物事は常に移り変わる。＞【方丈記】
思ひやり,おもいやり,想像・推察・思いやり,「思ひやり」は「想像」「推察」「思いやり」の意。他者の状況や心情を推し量ること。現代語より広い意味。,名詞|想像|推察|思いやり|心情|時代:平安時代|種別:古文表現,世にしたがへば、身苦し。（おもいやり）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（おもいやり）＜物事は常に移り変わる。＞【方丈記】
あてなり,あてなり,上品だ・高貴だ,形容動詞で「上品だ」「高貴だ」「優雅だ」の意。貴族的な美を表す重要語。「あてなる人」（上品な人）。,形容動詞|上品|高貴|優雅|貴族的|時代:平安時代|種別:古文表現,つれづれなるままに（あてなり）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（あてなり）＜行き先を勘違いして失敗する話。＞【徒然草】
たより,たより,便り・機会・縁,「たより」は「便り」「機会」「手段」「縁故」の意。多義語。「人のたより」（人づて）「たよりあらば」（機会があれば）。,名詞|便り|機会|手段|縁故|時代:平安時代|種別:古文表現,祇園精舎の鐘の声（たより）＜この世は無常である。＞【平家物語】,つれづれなるままに、日暮らし硯に向かひて（たより）＜退屈なので、硯に向かって書きつける。＞【徒然草】
源氏物語,げんじものがたり,平安時代の長編小説,紫式部作の長編物語。全54巻。光源氏の生涯と恋愛を描く。日本文学最高峰。世界最古の長編小説とも言われる。平安貴族社会を精緻に描写。【あらすじ】光源氏の恋愛と栄華、そしてその後の世代までを描く長編物語。人の心の揺れと「もののあわれ」が物語全体を貫く。,物語|紫式部|光源氏|恋愛|長編|時代:平安時代中期|種別:古典作品,身分の定まらない母を持つ光源氏が宮中で成長し、さまざまな恋に身を投じていく。（げんじものがたり）＜身分の定まらない母を持つ光源氏が宮中で成長し、さまざまな恋に身を投じていく。＞【源氏物語】,栄華の頂点にあるように見えても、別れや嫉妬が積み重なり、心は静かに疲れていく。最愛の人を失う場面では、取り返しのつかない喪失が物語の空気を変えてしまう。（げんじものがたり）＜栄華の頂点にあるように見えても、別れや嫉妬が積み重なり、心は静かに疲れていく。最愛の人を失う場面では、取り返しのつかない喪失が物語の空気を変えてしまう。＞【源氏物語】
竹取物語,たけとりものがたり,日本最古の物語,かぐや姫の物語。『竹取翁物語』とも。竹から生まれた姫が月に帰る。日本最古の物語文学。「今は昔」で始まる。求婚譚と昇天譚の融合。【あらすじ】竹取の翁が光る竹の中からかぐや姫を見つけ、やがて姫は多くの求婚者や帝の求愛を退け、最後は月へ帰っていく物語。,物語|かぐや姫|竹|月|最古|時代:平安時代初期|種別:古典作品,竹取の翁が竹の中で光る小さな姫を見つけ、家に連れ帰って育て始める。（たけとりものがたり）＜竹取の翁が竹の中で光る小さな姫を見つけ、家に連れ帰って育て始める。＞【竹取物語】,月から迎えが来る夜、かぐや姫は育ての親に別れを告げ、天人の衣を着せられて涙も心も遠のいていく。帝の軍勢も引き留められず、姫は月へ昇ってしまう。（たけとりものがたり）＜月から迎えが来る夜、かぐや姫は育ての親に別れを告げ、天人の衣を着せられて涙も心も遠のいていく。帝の軍勢も引き留められず、姫は月へ昇ってしまう。＞【竹取物語】
堤中納言物語,つつみちゅうなごんものがたり,短編物語集,平安時代末期の短編物語集。全10編。ユーモラスで機知に富んだ作品が多い。「虫めづる姫君」など。作者不詳。【あらすじ】平安末期の短編物語集で、機知やユーモアのある話が多い。「虫めづる姫君」など個性的な人物が登場する。,物語|短編集|ユーモア|虫めづる姫君|作者不詳|時代:平安時代末期|種別:古典作品,世間の常識にとらわれない姫君が登場し、周囲を驚かせるような振る舞いを見せる。（つつみちゅうなごんものがたり）＜世間の常識にとらわれない姫君が登場し、周囲を驚かせるような振る舞いを見せる。＞【堤中納言物語】,姫君が周囲の笑いものになっても平然と自分の好きを貫き、場の空気が一変する。世間の常識が揺さぶられる瞬間がこの話の山場になる。（つつみちゅうなごんものがたり）＜姫君が周囲の笑いものになっても平然と自分の好きを貫き、場の空気が一変する。世間の常識が揺さぶられる瞬間がこの話の山場になる。＞【堤中納言物語】
落窪物語,おちくぼものがたり,継子いじめの物語,継子いじめと恋愛を描いた物語。全4巻。シンデレラ型の物語。平安中期の作品。庶民的で写実的な描写が特徴。【あらすじ】継母と姉にいじめられる姫が、助けを得て幸せをつかむ「シンデレラ型」の物語。庶民的で写実的な描写が特徴。,物語|継子いじめ|恋愛|シンデレラ|写実的|時代:平安時代中期|種別:古典作品,姫は理不尽ないじめに耐えながらも、味方となる人々に支えられて希望をつなぐ。（おちくぼものがたり）＜姫は理不尽ないじめに耐えながらも、味方となる人々に支えられて希望をつなぐ。＞【落窪物語】,姫は長い屈辱を耐え抜いた末に、助けの手によって屋敷から救い出される。立場が逆転し、加害者側が慌てふためく展開が痛快な山場となる。（おちくぼものがたり）＜姫は長い屈辱を耐え抜いた末に、助けの手によって屋敷から救い出される。立場が逆転し、加害者側が慌てふためく展開が痛快な山場となる。＞【落窪物語】
うつほ物語,うつほものがたり,音楽と恋愛の物語,音楽（琴）を主題とした長編物語。全20巻。『源氏物語』以前の作品。俊蔭の琴の秘曲伝承と数世代の恋愛を描く。【あらすじ】琴の秘曲の伝承を軸に、複数世代にわたる恋愛や出世を描く長編物語。音楽が物語を動かす重要な要素となる。,物語|音楽|琴|恋愛|長編|時代:平安時代中期|種別:古典作品,秘められた琴の技と物語が受け継がれ、運命のように人々の人生に関わっていく。（うつほものがたり）＜秘められた琴の技と物語が受け継がれ、運命のように人々の人生に関わっていく。＞【うつほ物語】,秘曲が披露される場面で、音が人の心と運命を大きく動かし、周囲の評価が一気に変わる。音楽が栄達や恋の行方を決めていくところが物語の盛り上がりになる。（うつほものがたり）＜秘曲が披露される場面で、音が人の心と運命を大きく動かし、周囲の評価が一気に変わる。音楽が栄達や恋の行方を決めていくところが物語の盛り上がりになる。＞【うつほ物語】
