語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
close in,クローズ イン,close 中/内部/完了（直訳的: close+in）,句動詞（close + in）。'close' は「close」、'in' は「中・内部・完了」を示し、結びついて「close 中/内部/完了（直訳的: close+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,close: （意味未設定）: close 中/内部/完了（直訳的: close+in）; in: 中・内部・完了: close 中/内部/完了（直訳的: close+in）,学校・学習,1
close off,クローズ オフ,close 離脱（直訳的: close+off）,句動詞（close + off）。'close' は「close」、'off' は「離脱・停止」を示し、結びついて「close 離脱（直訳的: close+off）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,close: （意味未設定）: close 離脱（直訳的: close+off）; off: 離脱・停止: close 離脱（直訳的: close+off）,学校・学習,1
live up to,リブ アップ トゥ,live 上/完了/増加（直訳的: live+up）,句動詞（live + up）。'live' は「live」、'up' は「上・完了・増加」を示し、結びついて「live 上/完了/増加（直訳的: live+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 上/完了/増加（直訳的: live+up）; to: 〜へ: live 上/完了/増加（直訳的: live+up）; 〜に: live 上/完了/増加（直訳的: live+up）,学校・学習,2
live down,リブ ダウン,live 下/減少/故障（直訳的: live+down）,句動詞（live + down）。'live' は「live」、'down' は「下・減少・故障」を示し、結びついて「live 下/減少/故障（直訳的: live+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 下/減少/故障（直訳的: live+down）; down: 下・減少・故障: live 下/減少/故障（直訳的: live+down）,学校・学習,1
live on,リブ オン,live 上/接触/動作開始（直訳的: live+on）,句動詞（live + on）。'live' は「live」、'on' は「上・接触（装着や起動）」を示し、結びついて「live 上/接触/動作開始（直訳的: live+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 上/接触/動作開始（直訳的: live+on）; on: 上・接触（装着や起動）: live 上/接触/動作開始（直訳的: live+on）,学校・学習,1
live with,リブ ウィズ,live 一緒/手段（直訳的: live+with）,句動詞（live + with）。'live' は「live」、'with' は「一緒に・手段」を示し、結びついて「live 一緒/手段（直訳的: live+with）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 一緒/手段（直訳的: live+with）; with: 一緒に・手段: live 一緒/手段（直訳的: live+with）,学校・学習,1
live through,リブ スルー,live 通過/完了/経験（直訳的: live+through）,句動詞（live + through）。'live' は「live」、'through' は「通じて」を示し、結びついて「live 通過/完了/経験（直訳的: live+through）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 通過/完了/経験（直訳的: live+through）; through: 通じて: live 通過/完了/経験（直訳的: live+through）,学校・学習,1
live for,リブ フォー,live 〜のため/方向（直訳的: live+for）,句動詞（live + for）。'live' は「live」、'for' は「〜のため・方向」を示し、結びついて「live 〜のため/方向（直訳的: live+for）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 〜のため/方向（直訳的: live+for）; for: 〜のため・方向: live 〜のため/方向（直訳的: live+for）,学校・学習,1
live by,リブ バイ,live by（直訳的: live+by）,句動詞（live + by）。'live' は「live」、'by' は「by」を示し、結びついて「live by（直訳的: live+by）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live by（直訳的: live+by）; by: （訳語未設定）: live by（直訳的: live+by）,学校・学習,1
live off,リブ オフ,live 離脱（直訳的: live+off）,句動詞（live + off）。'live' は「live」、'off' は「離脱・停止」を示し、結びついて「live 離脱（直訳的: live+off）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 離脱（直訳的: live+off）; off: 離脱・停止: live 離脱（直訳的: live+off）,学校・学習,1
live out,リブ アウト,live 外/除去/完了（直訳的: live+out）,句動詞（live + out）。'live' は「live」、'out' は「外側・除去・完了」を示し、結びついて「live 外/除去/完了（直訳的: live+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 外/除去/完了（直訳的: live+out）; out: 外側・除去・完了: live 外/除去/完了（直訳的: live+out）,学校・学習,1
live in,リブ イン,live 中/内部/完了（直訳的: live+in）,句動詞（live + in）。'live' は「live」、'in' は「中・内部・完了」を示し、結びついて「live 中/内部/完了（直訳的: live+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,live: （意味未設定）: live 中/内部/完了（直訳的: live+in）; in: 中・内部・完了: live 中/内部/完了（直訳的: live+in）,学校・学習,1
think about,シンク アバウト,think 周り/おおよそ（直訳的: think+about）,句動詞（think + about）。'think' は「think」、'about' は「〜について」を示し、結びついて「think 周り/おおよそ（直訳的: think+about）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 周り/おおよそ（直訳的: think+about）; about: 〜について: think 周り/おおよそ（直訳的: think+about）,学校・学習,1
think of,シンク オブ,think of（直訳的: think+of）,句動詞（think + of）。'think' は「think」、'of' は「of」を示し、結びついて「think of（直訳的: think+of）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think of（直訳的: think+of）; of: （訳語未設定）: think of（直訳的: think+of）,学校・学習,1
think over,シンク オーバー,think 越える/再び/終わる（直訳的: think+over）,句動詞（think + over）。'think' は「think」、'over' は「上・越えて」を示し、結びついて「think 越える/再び/終わる（直訳的: think+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 越える/再び/終わる（直訳的: think+over）; over: 上・越えて: think 越える/再び/終わる（直訳的: think+over）,学校・学習,1
think through,シンク スルー,think 通過/完了/経験（直訳的: think+through）,句動詞（think + through）。'think' は「think」、'through' は「通じて」を示し、結びついて「think 通過/完了/経験（直訳的: think+through）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 通過/完了/経験（直訳的: think+through）; through: 通じて: think 通過/完了/経験（直訳的: think+through）,学校・学習,1
think up,シンク アップ,think 上/完了/増加（直訳的: think+up）,句動詞（think + up）。'think' は「think」、'up' は「上・完了・増加」を示し、結びついて「think 上/完了/増加（直訳的: think+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 上/完了/増加（直訳的: think+up）; up: 上・完了・増加: think 上/完了/増加（直訳的: think+up）,学校・学習,1
think back,シンク バック,think 戻る（直訳的: think+back）,句動詞（think + back）。'think' は「think」、'back' は「戻る・復帰」を示し、結びついて「think 戻る（直訳的: think+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 戻る（直訳的: think+back）; back: 戻る・復帰: think 戻る（直訳的: think+back）,学校・学習,1
think ahead,シンク アヘッド,think ahead（直訳的: think+ahead）,句動詞（think + ahead）。'think' は「think」、'ahead' は「先に」を示し、結びついて「think ahead（直訳的: think+ahead）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think ahead（直訳的: think+ahead）; ahead: 先に: think ahead（直訳的: think+ahead）,学校・学習,1
think out,シンク アウト,think 外/除去/完了（直訳的: think+out）,句動詞（think + out）。'think' は「think」、'out' は「外側・除去・完了」を示し、結びついて「think 外/除去/完了（直訳的: think+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,think: （意味未設定）: think 外/除去/完了（直訳的: think+out）; out: 外側・除去・完了: think 外/除去/完了（直訳的: think+out）,学校・学習,1
deal with,ディール ウィズ,deal 一緒/手段（直訳的: deal+with）,句動詞（deal + with）。'deal' は「deal」、'with' は「一緒に・手段」を示し、結びついて「deal 一緒/手段（直訳的: deal+with）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,deal: （意味未設定）: deal 一緒/手段（直訳的: deal+with）; with: 一緒に・手段: deal 一緒/手段（直訳的: deal+with）,学校・学習,2
talk about,トーク アバウト,talk 周り/おおよそ（直訳的: talk+about）,句動詞（talk + about）。'talk' は「talk」、'about' は「〜について」を示し、結びついて「talk 周り/おおよそ（直訳的: talk+about）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 周り/おおよそ（直訳的: talk+about）; about: 〜について: talk 周り/おおよそ（直訳的: talk+about）,学校・学習,1
talk to,トーク トゥ,talk 〜へ（直訳的: talk+to）,句動詞（talk + to）。'talk' は「talk」、'to' は「〜へ/〜に」を示し、結びついて「talk 〜へ（直訳的: talk+to）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 〜へ（直訳的: talk+to）; to: 〜へ: talk 〜へ（直訳的: talk+to）; 〜に: talk 〜へ（直訳的: talk+to）,学校・学習,1
talk with,トーク ウィズ,talk 一緒/手段（直訳的: talk+with）,句動詞（talk + with）。'talk' は「talk」、'with' は「一緒に・手段」を示し、結びついて「talk 一緒/手段（直訳的: talk+with）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 一緒/手段（直訳的: talk+with）; with: 一緒に・手段: talk 一緒/手段（直訳的: talk+with）,学校・学習,1
talk over,トーク オーバー,talk 越える/再び/終わる（直訳的: talk+over）,句動詞（talk + over）。'talk' は「talk」、'over' は「上・越えて」を示し、結びついて「talk 越える/再び/終わる（直訳的: talk+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 越える/再び/終わる（直訳的: talk+over）; over: 上・越えて: talk 越える/再び/終わる（直訳的: talk+over）,学校・学習,1
talk through,トーク スルー,talk 通過/完了/経験（直訳的: talk+through）,句動詞（talk + through）。'talk' は「talk」、'through' は「通じて」を示し、結びついて「talk 通過/完了/経験（直訳的: talk+through）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 通過/完了/経験（直訳的: talk+through）; through: 通じて: talk 通過/完了/経験（直訳的: talk+through）,学校・学習,1
talk back,トーク バック,talk 戻る（直訳的: talk+back）,句動詞（talk + back）。'talk' は「talk」、'back' は「戻る・復帰」を示し、結びついて「talk 戻る（直訳的: talk+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 戻る（直訳的: talk+back）; back: 戻る・復帰: talk 戻る（直訳的: talk+back）,学校・学習,1
talk down,トーク ダウン,talk 下/減少/故障（直訳的: talk+down）,句動詞（talk + down）。'talk' は「talk」、'down' は「下・減少・故障」を示し、結びついて「talk 下/減少/故障（直訳的: talk+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 下/減少/故障（直訳的: talk+down）; down: 下・減少・故障: talk 下/減少/故障（直訳的: talk+down）,学校・学習,1
talk up,トーク アップ,talk 上/完了/増加（直訳的: talk+up）,句動詞（talk + up）。'talk' は「talk」、'up' は「上・完了・増加」を示し、結びついて「talk 上/完了/増加（直訳的: talk+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 上/完了/増加（直訳的: talk+up）; up: 上・完了・増加: talk 上/完了/増加（直訳的: talk+up）,学校・学習,1
talk out,トーク アウト,talk 外/除去/完了（直訳的: talk+out）,句動詞（talk + out）。'talk' は「talk」、'out' は「外側・除去・完了」を示し、結びついて「talk 外/除去/完了（直訳的: talk+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 外/除去/完了（直訳的: talk+out）; out: 外側・除去・完了: talk 外/除去・完了（直訳的: talk+out）,学校・学習,1
talk into,トーク イントゥ,talk 中へ（直訳的: talk+into）,句動詞（talk + into）。'talk' は「talk」、'into' は「〜の中へ・変化」を示し、結びついて「talk 中へ（直訳的: talk+into）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,talk: （意味未設定）: talk 中へ（直訳的: talk+into）; into: 〜の中へ・変化: talk 中へ（直訳的: talk+into）,学校・学習,1
care for,ケア フォー,care 〜のため/方向（直訳的: care+for）,句動詞（care + for）。'care' は「care」、'for' は「〜のため・方向」を示し、結びついて「care 〜のため/方向（直訳的: care+for）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,care: （意味未設定）: care 〜のため/方向（直訳的: care+for）; for: 〜のため・方向: care 〜のため/方向（直訳的: care+for）,学校・学習,1
care about,ケア アバウト,care 周り/おおよそ（直訳的: care+about）,句動詞（care + about）。'care' は「care」、'about' は「〜について」を示し、結びついて「care 周り/おおよそ（直訳的: care+about）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,care: （意味未設定）: care 周り/おおよそ（直訳的: care+about）; about: 〜について: care 周り/おおよそ（直訳的: care+about）,学校・学習,1
wait for,ウェイト フォー,wait 〜のため/方向（直訳的: wait+for）,句動詞（wait + for）。'wait' は「wait」、'for' は「〜のため・方向」を示し、結びついて「wait 〜のため/方向（直訳的: wait+for）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,wait: （意味未設定）: wait 〜のため/方向（直訳的: wait+for）; for: 〜のため・方向: wait 〜のため/方向（直訳的: wait+for）,学校・学習,1
wait on,ウェイト オン,wait 上/接触/動作開始（直訳的: wait+on）,句動詞（wait + on）。'wait' は「wait」、'on' は「上・接触（装着や起動）」を示し、結びついて「wait 上/接触/動作開始（直訳的: wait+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,wait: （意味未設定）: wait 上/接触/動作開始（直訳的: wait+on）; on: 上・接触（装着や起動）: wait 上/接触/動作開始（直訳的: wait+on）,学校・学習,1
wait up,ウェイト アップ,wait 上/完了/増加（直訳的: wait+up）,句動詞（wait + up）。'wait' は「wait」、'up' は「上・完了・増加」を示し、結びついて「wait 上/完了/増加（直訳的: wait+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,wait: （意味未設定）: wait 上/完了/増加（直訳的: wait+up）; up: 上・完了・増加: wait 上/完了/増加（直訳的: wait+up）,学校・学習,1
wait around,ウェイト アラウンド,wait around（直訳的: wait+around）,句動詞（wait + around）。'wait' は「wait」、'around' は「周りに」を示し、結びついて「wait around（直訳的: wait+around）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,wait: （意味未設定）: wait around（直訳的: wait+around）; around: 周りに: wait around（直訳的: wait+around）,学校・学習,1
wait out,ウェイト アウト,wait 外/除去/完了（直訳的: wait+out）,句動詞（wait + out）。'wait' は「wait」、'out' は「外側・除去・完了」を示し、結びついて「wait 外/除去/完了（直訳的: wait+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,wait: （意味未設定）: wait 外/除去/完了（直訳的: wait+out）; out: 外側・除去・完了: wait 外/除去・完了（直訳的: wait+out）,学校・学習,1
hang up,ハング アップ,hang 上/完了/増加（直訳的: hang+up）,句動詞（hang + up）。'hang' は「hang」、'up' は「上・完了・増加」を示し、結びついて「hang 上/完了/増加（直訳的: hang+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 上/完了/増加（直訳的: hang+up）; up: 上・完了・増加: hang 上/完了/増加（直訳的: hang+up）,学校・学習,1
hang on,ハング オン,hang 上/接触/動作開始（直訳的: hang+on）,句動詞（hang + on）。'hang' は「hang」、'on' は「上・接触（装着や起動）」を示し、結びついて「hang 上/接触/動作開始（直訳的: hang+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 上/接触/動作開始（直訳的: hang+on）; on: 上・接触（装着や起動）: hang 上/接触/動作開始（直訳的: hang+on）,学校・学習,1
hang out,ハング アウト,hang 外/除去/完了（直訳的: hang+out）,句動詞（hang + out）。'hang' は「hang」、'out' は「外側・除去・完了」を示し、結びついて「hang 外/除去/完了（直訳的: hang+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 外/除去/完了（直訳的: hang+out）; out: 外側・除去・完了: hang 外/除去・完了（直訳的: hang+out）,学校・学習,1
hang around,ハング アラウンド,hang around（直訳的: hang+around）,句動詞（hang + around）。'hang' は「hang」、'around' は「周りに」を示し、結びついて「hang around（直訳的: hang+around）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang around（直訳的: hang+around）; around: 周りに: hang around（直訳的: hang+around）,学校・学習,1
hang back,ハング バック,hang 戻る（直訳的: hang+back）,句動詞（hang + back）。'hang' は「hang」、'back' は「戻る・復帰」を示し、結びついて「hang 戻る（直訳的: hang+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 戻る（直訳的: hang+back）; back: 戻る・復帰: hang 戻る（直訳的: hang+back）,学校・学習,1
hang in,ハング イン,hang 中/内部/完了（直訳的: hang+in）,句動詞（hang + in）。'hang' は「hang」、'in' は「中・内部・完了」を示し、結びついて「hang 中/内部/完了（直訳的: hang+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 中/内部/完了（直訳的: hang+in）; in: 中・内部・完了: hang 中/内部/完了（直訳的: hang+in）,学校・学習,1
hang over,ハング オーバー,hang 越える/再び/終わる（直訳的: hang+over）,句動詞（hang + over）。'hang' は「hang」、'over' は「上・越えて」を示し、結びついて「hang 越える/再び/終わる（直訳的: hang+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 越える/再び/終わる（直訳的: hang+over）; over: 上・越えて: hang 越える/再び/終わる（直訳的: hang+over）,学校・学習,1
hang down,ハング ダウン,hang 下/減少/故障（直訳的: hang+down）,句動詞（hang + down）。'hang' は「hang」、'down' は「下・減少・故障」を示し、結びついて「hang 下/減少/故障（直訳的: hang+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,hang: （意味未設定）: hang 下/減少/故障（直訳的: hang+down）; down: 下・減少・故障: hang 下/減少/故障（直訳的: hang+down）,学校・学習,1
